Frequency_kHz,Benchmark,Francis_BEM_TS,Francis_Series_TS,Macaulay_FEM_TS,Reeder_FMM_TS
12,-42.29,-42.29,-42.29,-42.29,-42.26
14,-42.92,-42.92,-42.92,-42.92,-42.88
16,-43.52,-43.52,-43.52,-43.5,-43.47
18,-44.02,-44.02,-44.02,-43.95,-43.96
20,-44.39,-44.39,-44.39,-44.31,-44.33
22,-44.63,-44.63,-44.63,-44.52,-44.57
24,-44.75,-44.75,-44.75,-44.63,-44.69
26,-44.79,-44.79,-44.79,-44.64,-44.73
28,-44.78,-44.78,-44.78,-44.62,-44.73
30,-44.78,-44.78,-44.78,-44.62,-44.73
32,-44.79,-44.79,-44.79,-44.59,-44.74
34,-44.83,-44.83,-44.83,-44.68,-44.79
36,-44.9,-44.9,-44.9,-44.74,-44.86
38,-45,-45,-45,-44.85,-44.95
40,-45.11,-45.11,-45.11,-44.99,-45.06
42,-45.21,-45.21,-45.21,-45.13,-45.16
44,-45.31,-45.31,-45.31,-45.27,-45.26
46,-45.38,-45.38,-45.38,-45.37,-45.33
48,-45.43,-45.43,-45.43,-45.45,-45.38
50,-45.45,-45.45,-45.45,-45.49,-45.4
52,-45.46,-45.46,-45.46,-45.53,-45.41
54,-45.46,-45.46,-45.46,-45.55,-45.41
56,-45.46,-45.46,-45.46,-45.53,-45.41
58,-45.46,-45.46,-45.46,-45.51,-45.42
60,-45.48,-45.48,-45.48,-45.5,-45.43
62,-45.5,-45.5,-45.5,-45.51,-45.46
64,-45.53,-45.53,-45.53,-45.49,-45.49
66,-45.57,-45.57,-45.57,-45.51,-45.52
68,-45.61,-45.61,-45.61,-45.54,-45.56
70,-45.64,-45.64,-45.64,-45.52,-45.59
72,-45.67,-45.67,-45.67,-45.5,-45.62
74,-45.69,-45.69,-45.69,-45.49,-45.64
76,-45.7,-45.7,-45.7,-45.5,-45.65
78,-45.71,-45.71,-45.71,-45.5,-45.66
80,-45.71,-45.71,-45.71,-45.55,-45.66
82,-45.71,-45.71,-45.71,-45.53,-45.66
84,-45.71,-45.71,-45.71,-45.58,-45.66
86,-45.71,-45.71,-45.71,-45.57,-45.67
88,-45.72,-45.72,-45.72,-45.67,-45.68
90,-45.73,-45.73,-45.73,-45.69,-45.69
92,-45.75,-45.75,-45.75,-45.75,-45.7
94,-45.77,-45.77,-45.77,-45.79,-45.72
96,-45.78,-45.78,-45.78,-45.85,-45.74
98,-45.8,-45.8,-45.8,-45.88,-45.75
100,-45.81,-45.81,-45.81,-45.9,-45.76
102,-45.82,-45.82,-45.82,-45.85,-45.77
104,-45.82,-45.82,-45.82,-45.91,-45.77
106,-45.82,-45.82,-45.82,-45.87,-45.78
108,-45.82,-45.82,-45.82,-45.82,-45.78
110,-45.82,-45.82,-45.82,-45.82,-45.78
112,-45.82,-45.82,-45.82,-45.77,-45.78
114,-45.83,-45.83,-45.83,-45.76,-45.78
116,-45.83,-45.83,-45.83,-45.77,-45.79
118,-45.84,-45.84,-45.84,-45.7,-45.8
120,-45.85,-45.85,-45.85,-45.7,-45.8
122,-45.86,-45.86,-45.86,-45.72,-45.81
124,-45.87,-45.87,-45.87,-45.72,-45.82
126,-45.87,-45.87,-45.87,,-45.83
128,-45.88,-45.88,-45.88,,-45.83
130,-45.88,-45.88,-45.88,,-45.84
132,-45.88,-45.88,-45.88,,-45.84
134,-45.88,-45.88,-45.88,,-45.84
136,-45.88,-45.88,-45.88,,-45.84
