Frequency_kHz,Benchmark,Francis_BEM_TS,Francis_Series_TS,Francis_Kirchhoff_TS,Macaulay_FEM_TS,Reeder_FMM_TS
12,-54.44,-54.44,-54.44,-52.12,-54.39,-54.45
14,-52.2,-52.2,-52.2,-50.87,-52.13,-52.21
16,-50.4,-50.4,-50.4,-49.81,-50.32,-50.41
18,-48.96,-48.96,-48.96,-48.91,-48.84,-48.98
20,-47.85,-47.85,-47.85,-48.13,-47.79,-47.86
22,-47.02,-47.02,-47.02,-47.45,-46.98,-47.03
24,-46.46,-46.46,-46.46,-46.86,-46.39,-46.48
26,-46.16,-46.16,-46.16,-46.34,-46.08,-46.17
28,-46.11,-46.11,-46.11,-45.89,-45.97,-46.12
30,-46.3,-46.3,-46.3,-45.5,-46.21,-46.31
32,-46.74,-46.74,-46.74,-45.17,-46.62,-46.73
34,-47.39,-47.39,-47.39,-44.88,-47.27,-47.37
36,-48.21,-48.21,-48.21,-44.64,-47.92,-48.18
38,-49.09,-49.09,-49.09,-44.44,-48.81,-49.04
40,-49.8,-49.8,-49.8,-44.29,-49.35,-49.72
42,-50.04,-50.04,-50.04,-44.17,-49.62,-49.95
44,-49.68,-49.68,-49.68,-44.08,-49.31,-49.59
46,-48.87,-48.87,-48.87,-44.03,-48.58,-48.8
48,-47.92,-47.92,-47.92,-44.02,-47.58,-47.87
50,-47.04,-47.04,-47.04,-44.03,-46.73,-47.01
52,-46.34,-46.34,-46.34,-44.08,-46.19,-46.32
54,-45.86,-45.86,-45.86,-44.15,-45.77,-45.85
56,-45.61,-45.61,-45.61,-44.25,-45.66,-45.61
58,-45.59,-45.59,-45.59,-44.38,-45.62,-45.59
60,-45.8,-45.8,-45.8,-44.53,-45.9,-45.79
62,-46.2,-46.2,-46.2,-44.7,-46.36,-46.19
64,-46.76,-46.76,-46.76,-44.9,-47.04,-46.73
66,-47.4,-47.4,-47.4,-45.11,-47.49,-47.36
68,-48,-48,-48,-45.33,-48.07,-47.94
70,-48.38,-48.38,-48.38,-45.56,-48.28,-48.3
72,-48.39,-48.39,-48.39,-45.8,-48.08,-48.3
74,-48.03,-48.03,-48.03,-46.04,-47.55,-47.95
76,-47.44,-47.43,-47.44,-46.27,-46.86,-47.38
