Frequency_kHz,Benchmark,Francis_BEM_TS,Francis_Series_TS,Gorska_DWBA_TS,Horne_KRM_TS,Jones_PTDWBA_TS,Demer_SDWBA_TS,Macaulay_FEM_TS,Reeder_FMM_TS
12,-103.95,-103.95,-103.95,-103.94,-104.59,-104.02,-104.83,-102.31,-104.38
14,-101.62,-101.62,-101.62,-101.6,-102.2,-101.69,-102.32,-99.95,-102.06
16,-99.69,-99.69,-99.69,-99.67,-100.24,-99.76,-100.39,-98.01,-100.13
18,-98.1,-98.1,-98.1,-98.08,-98.64,-98.17,-98.69,-96.4,-98.54
20,-96.79,-96.79,-96.79,-96.77,-97.32,-96.86,-97.3,-95.43,-97.23
22,-95.72,-95.72,-95.72,-95.69,-96.25,-95.79,-96.17,-94.51,-96.15
24,-94.87,-94.87,-94.87,-94.83,-95.41,-94.94,-95.27,-93.14,-95.29
26,-94.21,-94.21,-94.21,-94.17,-94.76,-94.28,-94.58,-92.41,-94.63
28,-93.74,-93.74,-93.74,-93.69,-94.31,-93.81,-94.08,-91.79,-94.15
30,-93.44,-93.44,-93.44,-93.39,-94.04,-93.52,-93.76,-91.95,-93.85
32,-93.33,-93.33,-93.33,-93.27,-93.96,-93.41,-93.65,-92.62,-93.73
34,-93.4,-93.4,-93.4,-93.34,-94.07,-93.48,-93.7,-92.6,-93.79
36,-93.66,-93.66,-93.66,-93.59,-94.39,-93.75,-93.95,-92.82,-94.04
38,-94.13,-94.14,-94.13,-94.06,-94.93,-94.23,-94.42,-93.31,-94.5
40,-94.85,-94.85,-94.85,-94.78,-95.73,-94.97,-95.14,-94.73,-95.2
42,-95.86,-95.87,-95.86,-95.78,-96.87,-96,-96.15,-95.73,-96.18
44,-97.25,-97.25,-97.25,-97.16,-98.43,-97.41,-97.55,-97.24,-97.52
46,-99.16,-99.16,-99.16,-99.07,-100.63,-99.37,-99.51,-99.15,-99.36
48,-101.91,-101.91,-101.91,-101.81,-103.93,-102.2,-102.32,-101.58,-101.98
50,-106.29,-106.29,-106.29,-106.18,-109.73,-106.79,-106.88,-105.97,-106.07
52,-116.22,-116.23,-116.22,-116.07,-125.83,-117.92,-117.91,-115.47,-114.56
54,-114.86,-114.85,-114.86,-114.86,-109.64,-113.67,-113.88,-113.72,-117.62
56,-105.85,-105.85,-105.85,-105.78,-103.79,-105.42,-105.55,-105.74,-107.13
58,-101.66,-101.66,-101.66,-101.58,-100.44,-101.41,-101.52,-101.54,-102.64
60,-99.02,-99.02,-99.02,-98.93,-98.19,-98.85,-98.93,-98.8,-99.87
62,-97.18,-97.18,-97.18,-97.08,-96.58,-97.06,-97.12,-96.85,-97.96
64,-95.85,-95.85,-95.85,-95.76,-95.41,-95.77,-95.82,-95.53,-96.6
66,-94.91,-94.91,-94.91,-94.82,-94.57,-94.86,-94.89,-94.71,-95.63
68,-94.28,-94.28,-94.28,-94.18,-94.02,-94.25,-94.26,-93.98,-94.98
70,-93.91,-93.91,-93.91,-93.81,-93.72,-93.91,-93.9,-93.66,-94.59
72,-93.78,-93.78,-93.78,-93.69,-93.64,-93.81,-93.77,-93.57,-94.46
74,-93.88,-93.89,-93.88,-93.8,-93.8,-93.95,-93.89,-93.75,-94.56
76,-94.24,-94.24,-94.24,-94.16,-94.2,-94.33,-94.24,-94.09,-94.92
78,-94.85,-94.86,-94.85,-94.78,-94.87,-94.99,-94.85,-94.68,-95.54
80,-95.78,-95.78,-95.78,-95.72,-95.84,-95.97,-95.77,-95.72,-96.48
82,-97.08,-97.09,-97.08,-97.04,-97.21,-97.35,-97.07,-97.07,-97.81
84,-98.91,-98.92,-98.91,-98.89,-99.12,-99.29,-98.89,-98.94,-99.69
