Frequency_kHz,Benchmark,Francis_BEM_TS,Francis_Series_TS,Horne_KRM_TS,Macaulay_FEM_TS
12,-42.8,-42.8,-42.8,-46.59,-42.24
14,-43.44,-43.44,-43.44,-46.18,-42.68
16,-43.99,-43.99,-43.99,-45.87,-43.19
18,-44.51,-44.51,-44.51,-45.62,-43.67
20,-44.97,-44.97,-44.97,-45.43,-43.94
22,-45.3,-45.3,-45.3,-45.3,-44.14
24,-45.54,-45.54,-45.54,-45.22,-44.32
26,-45.69,-45.69,-45.69,-45.18,-44.47
28,-45.69,-45.69,-45.69,-45.17,-44.46
30,-45.73,-45.73,-45.73,-45.2,-44.58
32,-45.73,-45.72,-45.73,-45.25,-44.66
34,-45.72,-45.72,-45.72,-45.32,-44.99
36,-45.75,-45.75,-45.75,-45.4,-45.1
38,-45.78,-45.78,-45.78,-45.48,-45.17
40,-45.84,-45.84,-45.84,-45.55,-45.42
42,-45.92,-45.92,-45.92,-45.6,-45.38
44,-45.97,-45.97,-45.97,-45.63,-45.28
46,-46.15,-46.15,-46.15,-45.64,-45.45
48,-46.2,-46.2,-46.2,-45.62,-45.31
50,-46.29,-46.29,-46.29,-45.57,-45.18
52,-46.37,-46.37,-46.37,-45.5,-45.1
54,-46.38,-46.38,-46.38,-45.43,-44.93
56,-46.49,-46.49,-46.49,-45.35,-45.05
58,-46.39,-46.39,-46.39,-45.28,-44.81
60,-46.37,-46.36,-46.37,-45.22,-45
62,-46.39,-46.39,-46.39,-45.18,-45.12
64,-46.37,-46.37,-46.37,-45.17,-45.34
66,-46.45,-46.45,-46.45,-45.18,-45.6
68,-46.43,-46.43,-46.43,-45.23,-45.63
70,-46.45,-46.45,-46.45,-45.3,-45.79
72,-46.48,-46.48,-46.48,-45.4,-45.83
74,-46.53,-46.53,-46.53,-45.52,-45.69
76,-46.5,-46.5,-46.5,-45.65,-45.83
78,-46.58,-46.57,-46.58,-45.78,-45.86
80,-46.61,-46.61,-46.61,-45.91,-45.74
82,-46.6,-46.6,-46.6,-46,-45.47
84,-46.61,-46.6,-46.61,-46.07,-45.34
86,-46.6,-46.6,-46.6,-46.09,-45.39
88,-46.63,-46.63,-46.63,-46.07,-45.23
90,-46.64,-46.64,-46.64,-46,-45.32
92,-46.62,-46.62,-46.62,-45.89,-45.35
94,-46.69,-46.69,-46.69,-45.76,-45.47
96,-46.64,-46.64,-46.64,-45.6,-45.42
98,-46.66,-46.66,-46.66,-45.45,-45.51
100,-46.68,-46.67,-46.68,-45.3,-45.68
102,-46.65,-46.65,-46.65,-45.17,-45.87
104,-46.73,-46.73,-46.73,-45.07,-45.95
106,-46.69,-46.69,-46.69,-45,-45.94
108,-46.71,-46.71,-46.71,-44.97,-45.89
110,-46.72,-46.72,-46.72,-44.98,-46.02
112,-46.71,-46.7,-46.71,-45.03,-46.01
114,-46.81,-46.81,-46.81,-45.12,-45.67
116,-46.74,-46.74,-46.74,-45.25,-45.68
118,-46.76,-46.76,-46.76,-45.4,-45.52
120,-46.75,-46.75,-46.75,-45.58,-45.57
122,-46.76,-46.76,-46.76,-45.77,-45.54
124,-46.77,-46.76,-46.77,-45.96,-45.52
126,-46.74,-46.74,-46.74,-46.13,-45.37
128,-46.76,-46.76,-46.76,-46.29,-45.34
130,-46.7,-46.7,-46.7,-46.41,-45.35
132,-46.63,-46.63,-46.63,-46.49,-45.58
134,-46.74,-46.74,-46.74,-46.54,-45.76
136,-46.77,-46.77,-46.77,-46.55,-45.79
138,-46.82,-46.82,-46.82,-46.53,-45.93
140,-46.77,-46.78,-46.77,-46.5,-45.94
142,-46.83,-46.83,-46.83,-46.46,-45.89
144,-46.79,-46.79,-46.79,-46.42,-45.96
146,-46.8,-46.8,-46.8,-46.41,-45.94
148,-46.81,-46.81,-46.81,-46.42,-45.93
150,-46.76,-46.76,-46.76,-46.46,-45.8
152,-46.85,-46.84,-46.85,-46.53,-45.88
154,-46.77,-46.77,-46.77,-46.64,-45.57
156,-46.79,-46.79,-46.79,-46.78,-45.52
158,-46.77,-46.77,-46.77,-46.95,-45.5
160,-46.72,-46.72,-46.72,-47.13,-45.48
162,-45.03,-45.02,-45.03,-47.3,-45.44
164,-46.8,-46.8,-46.8,-47.46,-45.58
166,-47.06,-47.06,-47.06,-47.58,-45.58
168,-46.83,-46.83,-46.83,-47.64,-45.72
170,-46.82,-46.82,-46.82,-47.64,-45.8
172,-47.01,-47.01,-47.01,-47.58,-45.87
174,-46.9,-46.9,-46.9,-47.45,-46.07
176,-46.83,-46.83,-46.83,-47.26,-46.03
178,-46.77,-46.77,-46.77,-47.04,-45.92
180,-46.96,-46.96,-46.96,-46.8,-45.89
182,-46.77,-46.77,-46.77,-46.56,-45.91
184,-46.81,-46.81,-46.81,-46.33,-45.91
186,-46.9,-46.9,-46.9,-46.13,-45.78
188,-46.81,-46.81,-46.81,-45.96,-45.74
190,-46.83,-46.83,-46.83,-45.84,-45.61
192,-46.82,-46.82,-46.82,-45.75,-45.7
194,-46.8,-46.8,-46.8,-45.7,-45.56
196,-46.85,-46.85,-46.85,-45.69,-45.48
198,-46.8,-46.8,-46.8,-45.72,-45.53
200,-46.88,-46.88,-46.88,-45.77,-45.64
202,-46.86,-46.85,-46.86,-45.83,
204,-46.83,-46.83,-46.83,-45.91,
206,-46.82,-46.82,-46.82,-45.98,
208,-47.31,-47.31,-47.31,-46.03,
210,-46.85,-46.85,-46.85,-46.06,
212,-46.83,-46.83,-46.83,-46.05,
214,-47.18,-47.18,-47.18,-46.01,
216,-46.87,-46.87,-46.87,-45.95,
218,-46.81,-46.8,-46.81,-45.85,
220,-46.83,-46.83,-46.83,-45.74,
222,-46.88,-46.88,-46.88,-45.63,
224,-46.85,-46.85,-46.85,-45.52,
226,-46.8,-46.8,-46.8,-45.43,
228,-46.88,-46.88,-46.88,-45.37,
230,-46.82,-46.82,-46.82,-45.34,
232,-46.83,-46.83,-46.83,-45.34,
234,-46.9,-46.9,-46.9,-45.38,
236,-46.88,-46.88,-46.88,-45.47,
238,-46.96,-46.96,-46.96,-45.59,
240,-46.84,-46.84,-46.84,-45.75,
242,-46.72,-46.72,-46.72,-45.93,
244,-46.88,-46.88,-46.88,-46.14,
246,-46.8,-46.8,-46.8,-46.34,
248,-46.91,-46.91,-46.91,-46.54,
250,-46.87,-46.88,-46.87,-46.71,
252,-46.83,-46.83,-46.83,-46.84,
254,-46.84,-46.84,-46.84,-46.91,
256,-46.85,-46.85,-46.85,-46.93,
258,-46.91,-46.91,-46.91,-46.89,
260,-46.84,-46.84,-46.84,-46.81,
262,-46.95,-46.95,-46.95,-46.69,
264,-46.95,-46.96,-46.95,-46.55,
266,-46.6,-46.6,-46.6,-46.4,
268,-46.99,-46.99,-46.99,-46.27,
270,-46.92,-46.92,-46.92,-46.16,
272,-46.85,-46.86,-46.85,-46.07,
274,-46.82,-46.82,-46.82,-46.03,
276,-46.85,-46.85,-46.85,-46.01,
278,-46.83,-46.84,-46.83,-46.04,
280,-46.83,-46.82,-46.83,-46.09,
282,-46.89,-46.88,-46.89,-46.18,
284,-46.8,-46.79,-46.8,-46.28,
286,-46.89,-46.89,-46.89,-46.38,
288,-46.85,-46.85,-46.85,-46.48,
290,-46.9,-46.9,-46.9,-46.56,
292,-46.92,-46.92,-46.92,-46.6,
294,-46.79,-46.78,-46.79,-46.61,
296,-46.89,-46.89,-46.89,-46.56,
298,-46.91,-46.91,-46.91,-46.48,
300,-46.83,-46.83,-46.83,-46.36,
302,-46.86,-46.86,-46.86,-46.21,
304,-46.82,-46.83,-46.82,-46.05,
306,-46.83,-46.84,-46.83,-45.9,
308,-46.85,-46.86,-46.85,-45.75,
310,-46.91,-46.9,-46.91,-45.63,
312,-46.71,-46.71,-46.71,-45.53,
314,-46.91,-46.91,-46.91,-45.48,
316,-46.85,-46.85,-46.85,-45.46,
318,-46.54,-46.54,-46.54,-45.49,
320,-46.86,-46.85,-46.86,-45.55,
322,-46.85,-46.85,-46.85,-45.65,
324,-49.54,-49.54,-49.54,-45.78,
326,-46.85,-46.85,-46.85,-45.92,
328,-46.83,-46.82,-46.83,-46.08,
330,-46.89,-46.89,-46.89,-46.23,
332,-46.82,-46.83,-46.82,-46.36,
334,-46.87,-46.87,-46.87,-46.46,
336,-46.87,-46.88,-46.87,-46.52,
338,-46.87,-46.89,-46.87,-46.53,
340,-46.58,-46.57,-46.58,-46.49,
342,-46.9,-46.9,-46.9,-46.42,
344,-46.92,-46.91,-46.92,-46.32,
346,-47.26,-47.26,-47.26,-46.19,
348,-46.82,-46.82,-46.82,-46.07,
350,-46.89,-46.89,-46.89,-45.95,
352,-46.77,-46.77,-46.77,-45.85,
354,-46.9,-46.9,-46.9,-45.78,
356,-46.86,-46.85,-46.86,-45.75,
358,-46.9,-46.88,-46.9,-45.75,
360,-46.83,-46.83,-46.83,-45.79,
362,-46.86,-46.87,-46.86,-45.87,
364,-46.74,-46.75,-46.74,-45.98,
366,-46.81,-46.83,-46.81,-46.12,
368,-46.75,-46.74,-46.75,-46.27,
370,-47.32,-47.32,-47.32,-46.43,
372,-46.9,-46.9,-46.9,-46.59,
374,-46.89,-46.89,-46.89,-46.72,
376,-46.84,-46.84,-46.84,-46.82,
378,-46.9,-46.9,-46.9,-46.88,
380,-46.83,-46.83,-46.83,-46.89,
382,-46.91,-46.9,-46.91,-46.87,
384,-46.89,-46.89,-46.89,-46.81,
386,-46.87,-46.88,-46.87,-46.72,
388,-46.87,-46.87,-46.87,-46.62,
390,-46.86,-46.86,-46.86,-46.53,
392,-46.88,-46.88,-46.88,-46.45,
394,-46.78,-46.79,-46.78,-46.39,
396,-46.75,-46.75,-46.75,-46.37,
398,-46.99,-46.99,-46.99,-46.39,
400,-46.94,-46.94,-46.94,-46.45,
