Frequency_kHz,Macaulay_FEM_TS,Gorska_dcyl_TS,Benchmark,Francis_BEM_TS,Horne_KRM_TS
12,-30.06,-30.02,-28.59,-30.14,-28.59
14,-30,-29.8,-28.27,-30.04,-28.23
16,-29.82,-29.6,-27.68,-29.88,-27.94
18,-29.65,-29.4,-27.82,-29.71,-27.71
20,-29.46,-29.2,-27.73,-29.55,-27.52
22,-29.32,-29.01,-27.68,-29.38,-27.37
24,-29.18,-28.84,-27.68,-29.2,-27.24
26,-29.11,-28.68,-27.74,-29.07,-27.15
28,-29.01,-28.55,-27.91,-28.97,-27.08
30,-28.89,-28.45,-28.01,-28.9,-27.02
32,-28.81,-28.38,-28.24,-28.76,-26.99
34,-28.81,-28.41,-28.52,-28.7,-26.98
36,-28.68,-28.28,-28.88,-28.66,-26.98
38,-28.65,-28.26,-29.17,-28.64,-27
40,-28.57,-28.26,-29.78,-28.61,-27.02
42,-28.51,-28.27,,-28.59,-27.06
44,-28.49,-28.34,,-28.61,-27.11
46,-28.47,-28.31,,-28.43,-27.17
48,-28.41,-28.33,,-28.61,-27.24
50,-28.42,-28.38,,-28.61,-27.31
52,-28.4,-28.4,,-28.63,-27.39
54,-28.43,-28.44,,-28.63,-27.47
56,-28.46,-28.5,,-28.66,-27.56
58,,-28.61,,-28.71,-27.65
60,,-28.6,,-28.71,-27.73
62,,-28.66,,-28.74,-27.82
64,,-28.71,,-28.78,-27.9
66,,-28.75,,-28.84,-27.98
68,,-28.83,,-28.94,-28.06
70,,-28.87,,-29.02,-28.13
72,,-28.91,,-28.91,-28.19
74,,-28.91,,-28.93,-28.25
76,,-29,,-28.97,-28.3
78,,-29,,-28.99,-28.35
80,,-29.04,,-28.91,-28.39
82,,-29.08,,-29.11,-28.42
84,,-29.08,,-29.06,-28.45
86,,-29.1,,-29.06,-28.47
88,,-29.1,,-29.13,-28.48
90,,-29.08,,-29.05,-28.49
92,,-29.08,,-29.1,-28.5
94,,-29.09,,-29.12,-28.5
96,,-29.07,,-29.1,-28.5
98,,-29.05,,-29.04,-28.5
100,,-29.06,,-29.1,-28.49
102,,-28.98,,-29.08,-28.49
104,,-29.02,,-29.1,-28.48
106,,-28.94,,-29.07,-28.48
108,,-28.99,,-29.1,-28.47
110,,-28.96,,-29.12,-28.47
112,,-28.91,,-29.08,-28.46
114,,-28.9,,-28.97,-28.46
116,,-28.89,,-29.07,-28.46
118,,-28.89,,-29.07,-28.46
120,,-28.87,,-29.05,-28.46
122,,-28.83,,-29.07,-28.47
124,,-28.82,,-29.1,-28.48
126,,-28.9,,-29.08,-28.48
128,,-28.89,,-29.01,-28.49
130,,-28.86,,-29.05,-28.5
132,,-28.91,,-29.04,-28.51
134,,-28.96,,-29.05,-28.52
136,,-28.99,,-29.04,-28.53
138,,-28.91,,-29.06,-28.55
140,,-29.02,,-29.04,-28.56
142,,-28.8,,-29.04,-28.57
144,,-28.96,,-28.93,-28.58
146,,-28.97,,-29.06,-28.59
148,,-28.99,,-29.07,-28.61
150,,-29.02,,-29.07,-28.62
152,,-29.01,,-29.09,-28.63
154,,-29,,-29.08,-28.64
156,,-29.02,,-29.08,-28.65
158,,-28.87,,-29.05,-28.66
160,,-29.07,,-29.13,-28.67
162,,-29.07,,-29.09,-28.68
164,,-29.08,,-29.2,-28.69
166,,-29.38,,-29.07,-28.7
168,,-29.07,,-29.11,-28.7
170,,-29.06,,-29.42,-28.71
172,,-29.06,,-29.11,-28.72
174,,-29.05,,-30.26,-28.73
176,,-28.97,,-29.12,-28.74
