Frequency_kHz,Macaulay_FEM_TS,Gorska_dcyl_TS,Reeder_FMM_TS,Benchmark,Francis_BEM_TS
12,-29.08,-30.02,-30.25,-30.16,-30.17
14,-28.97,-29.8,-30.14,-30.02,-30.03
16,-28.69,-29.6,-30.02,-29.87,-29.88
18,-28.41,-29.4,-29.89,-29.7,-29.71
20,-28.17,-29.2,-29.76,-29.54,-29.55
22,-28.02,-29.01,-29.64,-29.38,-29.38
24,-27.86,-28.84,-29.52,-29.21,-29.23
26,-27.87,-28.69,-29.41,-29.06,-29.08
28,-27.89,-28.56,-29.32,-28.94,-28.95
30,-28.04,-28.45,-29.25,-28.83,-28.85
32,-28.21,-28.38,-29.22,-28.75,-28.77
34,-28.45,-28.32,-29.21,-28.68,-28.7
36,-28.72,-28.29,-29.22,-28.65,-28.66
38,-28.9,-28.27,-29.22,-28.62,-28.63
40,-29.08,-28.26,-29.16,-28.61,-28.61
42,-29.14,-28.27,-29.07,-28.6,-28.6
44,-29.07,-28.29,-29.08,-28.59,-28.6
46,-28.87,-28.31,-29.33,-28.59,-28.6
48,-28.62,-28.33,-29.61,-28.59,-28.6
50,-28.28,-28.36,-29.73,-28.6,-28.61
52,-28,-28.4,-29.64,-28.61,-28.62
54,-27.75,-28.44,-29.54,-28.63,-28.63
56,-27.53,-28.49,-29.5,-28.65,-28.65
58,-27.4,-28.54,-29.5,-28.67,-28.68
60,-27.38,-28.59,-29.52,-28.7,-28.71
62,-27.41,-28.65,-29.57,-28.73,-28.74
64,-27.56,-28.71,-29.63,-28.76,-28.77
66,-27.88,-28.77,-29.67,-28.8,-28.81
68,,-28.82,-29.7,-28.83,-28.85
70,,-28.88,-29.75,-28.86,-28.88
72,,-28.92,-29.87,-28.9,-28.91
74,,-28.96,-29.99,-28.92,-28.94
76,,-29,-30.02,-28.95,-28.96
78,,-29.03,-29.99,-28.98,-28.99
80,,-29.05,-29.93,-28.98,-29.01
82,,-29.07,,,-29.02
84,,-29.09,,,-29.04
86,,-29.09,,,-29.05
88,,-29.1,,,-29.07
90,,-29.1,,,-29.08
92,,-29.09,,,-29.09
94,,-29.09,,,-29.09
96,,-29.07,,,-29.1
98,,-29.06,,,-29.1
100,,-29.04,,,-29.1
102,,-29.02,,,-29.1
104,,-29,,,-29.09
106,,-28.98,,,-29.09
108,,-28.96,,,-29.08
