Frequency_kHz,Macaulay_FEM_TS,Gorska_dcyl_TS,Francis_Kirchhoff_TS,Reeder_FMM_TS,Benchmark,Francis_BEM_TS
12,-34.47,-35.81,-35.21,-36,-35.98,-36.07
14,-32.56,-33.69,-33.97,-33.85,-33.83,-33.9
16,-31.12,-32.07,-32.91,-32.21,-32.2,-32.24
18,-30.07,-30.85,-32.01,-30.99,-30.97,-31
20,-29.34,-29.96,-31.23,-30.1,-30.08,-30.1
22,-28.9,-29.36,-30.55,-29.5,-29.49,-29.49
24,-28.69,-29.01,-29.96,-29.15,-29.1,-29.12
26,-28.67,-28.86,-29.44,-29.02,-28.95,-28.96
28,-28.76,-28.9,-28.99,-29.08,-28.99,-28.99
30,-29,-29.08,-28.6,-29.37,-29.16,-29.16
32,-29.26,-29.35,-28.27,-29.85,-29.43,-29.42
34,-29.47,-29.65,-27.98,-30.49,-29.72,-29.71
36,-29.53,-29.88,-27.74,-31.18,-29.97,-29.95
38,-29.43,-29.98,-27.54,-31.65,-30.07,-30.05
40,-29.15,-29.89,-27.38,-31.82,-29.98,-29.96
42,-28.78,-29.62,-27.26,-31.83,-29.71,-29.71
44,-28.38,-29.25,-27.18,-31.21,-29.34,-29.34
46,-28.03,-28.85,-27.13,-30.44,-28.94,-28.95
48,-27.78,-28.49,-27.11,-29.76,-28.58,-28.59
50,-27.67,-28.21,-27.13,-29.24,-28.29,-28.31
52,-27.71,-28.03,-27.17,-28.93,-28.12,-28.14
54,-27.9,-27.98,-27.25,-28.81,-28.07,-28.09
56,-28.22,-28.05,-27.35,-28.87,-28.13,-28.15
58,-28.68,-28.22,-27.48,-29.08,-28.31,-28.32
60,-29.19,-28.47,-27.63,-29.25,-28.56,-28.57
62,,-28.76,-27.8,-29.49,-28.86,-28.87
64,,-29.06,-27.99,-29.75,-29.16,-29.16
66,,-29.3,-28.2,-29.88,-29.41,-29.4
68,,-29.44,-28.43,-29.82,-29.55,-29.55
70,,-29.47,-28.66,-29.56,-29.58,-29.57
72,,-29.39,-28.9,-29.16,-29.5,-29.49
74,,-29.25,-29.13,-28.71,-29.35,-29.34
76,,-29.07,-29.37,-28.29,-29.17,-29.17
78,,-28.92,-29.58,-27.99,-29.02,-29.01
80,,-28.82,-29.78,-27.82,-28.91,-28.91
82,,-28.8,-29.95,,,-28.88
84,,-28.85,-30.08,,,-28.93
86,,-28.97,-30.18,,,-29.05
88,,-29.15,-30.23,,,-29.22
90,,-29.35,-30.25,,,-29.42
92,,-29.54,-30.22,,,-29.6
94,,-29.68,-30.15,,,-29.73
96,,-29.74,-30.06,,,-29.79
98,,-29.71,-29.93,,,-29.76
100,,-29.61,-29.79,,,-29.65
102,,-29.45,-29.63,,,-29.48
104,,-29.27,-29.47,,,-29.3
106,,-29.1,-29.3,,,-29.14
108,,-28.97,-29.14,,,-29.02
110,,-28.9,-28.99,,,-28.94
112,,-28.89,-28.84,,,-28.93
114,,-28.93,-28.72,,,-28.98
116,,-29.01,-28.6,,,-29.06
118,,-29.11,-28.51,,,-29.17
120,,-29.2,-28.43,,,-29.27
122,,-29.27,-28.38,,,-29.35
124,,-29.29,-28.34,,,-29.38
126,,-29.26,-28.32,,,-29.36
128,,-29.19,-28.32,,,-29.29
130,,-29.08,-28.34,,,-29.19
132,,-28.96,-28.38,,,-29.08
134,,-28.86,-28.43,,,-28.97
136,,-28.78,-28.5,,,-28.9
138,,-28.74,-28.59,,,-28.87
140,,-28.75,-28.68,,,-28.88
142,,-28.8,-28.79,,,-28.93
144,,-28.89,-28.9,,,-29.01
146,,-28.99,-29.02,,,-29.12
148,,-29.09,-29.13,,,-29.22
150,,-29.18,-29.25,,,-29.3
152,,-29.23,-29.36,,,-29.35
154,,-29.24,-29.46,,,-29.36
156,,-29.22,-29.55,,,-29.32
158,,-29.16,-29.63,,,-29.26
160,,-29.09,-29.68,,,-29.19
162,,-29.03,-29.72,,,-29.11
164,,-28.98,-29.74,,,-29.06
166,,-28.95,-29.73,,,-29.03
168,,-28.96,-29.71,,,-29.03
170,,-29,-29.67,,,-29.06
172,,-29.06,-29.61,,,-29.12
174,,-29.14,-29.54,,,-29.19
176,,-29.21,-29.45,,,-29.26
178,,-29.27,-29.36,,,-29.31
180,,-29.3,-29.27,,,-29.34
182,,-29.3,-29.17,,,-29.34
184,,-29.26,-29.08,,,-29.3
186,,-29.2,-28.99,,,-29.24
188,,-29.13,-28.91,,,-29.17
190,,-29.06,-28.83,,,-29.1
192,,-29,-28.76,,,-29.04
194,,-28.96,-28.71,,,-29.01
196,,-28.95,-28.67,,,-29
198,,-28.96,-28.64,,,-29.02
200,,-29,-28.62,,,-29.06
202,,-29.04,-28.61,,,-29.12
204,,-29.09,-28.62,,,-29.17
206,,-29.13,-28.64,,,-29.21
208,,-29.15,-28.68,,,-29.24
210,,-29.15,-28.72,,,-29.24
212,,-29.12,-28.77,,,-29.22
214,,-29.08,-28.84,,,-29.18
216,,-29.03,-28.91,,,-29.13
218,,-28.98,-28.98,,,-29.08
220,,-28.93,-29.06,,,-29.04
222,,-28.91,-29.13,,,-29.02
224,,-28.91,-29.21,,,-29.02
226,,-28.93,-29.29,,,-29.04
228,,-28.97,-29.35,,,-29.08
230,,-29.02,-29.41,,,-29.12
232,,-29.07,-29.46,,,-29.17
234,,-29.11,-29.5,,,-29.22
236,,-29.15,-29.53,,,-29.24
238,,-29.16,-29.54,,,-29.25
240,,-29.15,-29.54,,,-29.24
242,,-29.13,-29.53,,,-29.21
244,,-29.09,-29.5,,,-29.17
246,,-29.06,-29.47,,,-29.13
248,,-29.03,-29.42,,,-29.09
250,,-29,-29.36,,,-29.07
252,,-29,-29.3,,,-29.06
254,,-29.01,-29.24,,,-29.07
256,,-29.04,-29.17,,,-29.1
258,,-29.07,-29.1,,,-29.13
260,,-29.11,-29.04,,,-29.17
262,,-29.14,-28.97,,,-29.2
264,,-29.15,-28.92,,,-29.22
266,,-29.15,-28.87,,,-29.22
268,,-29.14,-28.83,,,-29.21
270,,-29.11,-28.79,,,-29.18
272,,-29.07,-28.77,,,-29.15
274,,-29.03,-28.75,,,-29.11
276,,-28.99,-28.75,,,-29.08
278,,-28.97,-28.75,,,-29.06
280,,-28.95,-28.77,,,-29.05
282,,-28.96,-28.79,,,-29.06
284,,-28.97,-28.83,,,-29.08
286,,-29,-28.86,,,-29.1
288,,-29.03,-28.91,,,-29.14
290,,-29.06,-28.96,,,-29.17
292,,-29.08,-29.02,,,-29.19
294,,-29.1,-29.08,,,-29.2
296,,-29.09,-29.13,,,-29.19
298,,-29.08,-29.19,,,-29.17
300,,-29.06,-29.25,,,-29.15
302,,-29.04,-29.3,,,-29.12
304,,-29.02,-29.34,,,-29.09
306,,-29,-29.38,,,-29.07
308,,-29,-29.41,,,-29.07
310,,-29.01,-29.43,,,-29.07
312,,-29.03,-29.44,,,-29.09
314,,-29.06,-29.44,,,-29.11
316,,-29.09,-29.43,,,-29.14
318,,-29.12,-29.42,,,-29.17
320,,-29.14,-29.39,,,-29.18
322,,-29.15,-29.35,,,-29.19
324,,-29.15,-29.31,,,-29.19
326,,-29.13,-29.26,,,-29.18
328,,-29.11,-29.21,,,-29.16
330,,-29.08,-29.16,,,-29.13
332,,-29.05,-29.11,,,-29.11
334,,-29.03,-29.06,,,-29.09
336,,-29.01,-29.01,,,-29.08
338,,-29.01,-28.96,,,-29.08
340,,-29.01,-28.92,,,-29.09
342,,-29.02,-28.89,,,-29.11
344,,-29.04,-28.86,,,-29.13
346,,-29.05,-28.84,,,-29.15
348,,-29.06,-28.83,,,-29.17
350,,-29.07,-28.83,,,-29.18
352,,-29.06,-28.83,,,-29.18
354,,-29.05,-28.84,,,-29.16
356,,-29.03,-28.86,,,-29.15
358,,-29.01,-28.89,,,-29.13
360,,-28.99,-28.92,,,-29.1
362,,-28.98,-28.96,,,-29.09
364,,-28.97,-29,,,-29.08
366,,-28.98,-29.04,,,-29.08
368,,-28.99,-29.09,,,-29.09
370,,-29.02,-29.13,,,-29.1
372,,-29.05,-29.18,,,-29.12
374,,-29.07,-29.23,,,-29.14
376,,-29.1,-29.27,,,-29.16
378,,-29.11,-29.3,,,-29.17
380,,-29.12,-29.33,,,-29.17
382,,-29.11,-29.36,,,-29.16
384,,-29.1,-29.37,,,-29.15
386,,-29.07,-29.38,,,-29.13
388,,-29.04,-29.38,,,-29.11
390,,-29.01,-29.37,,,-29.09
392,,-28.98,-29.36,,,-29.09
394,,-28.95,-29.34,,,-29.09
396,,-28.92,-29.31,,,-29.09
398,,-28.9,-29.27,,,-29.11
400,,-28.88,-29.24,,,-29.12
