Frequency_kHz,Benchmark,Demer_SDWBA_TS,Macaulay_FEM_TS,Gorska_dcyl_TS,Gorska_DWBA_TS,Jones_PTDWBA_TS,Francis_BEM_TS,Horne_KRM_TS
12,-87.05,-87.25,-81.9721,-86.98,-87.04,-87.1,-87.29,-87.5872
14,-84.71,-84.9,-81.9053,-84.64,-84.7,-84.77,-84.91,-85.189
16,-82.78,-82.98,-77.4353,-82.71,-82.77,-82.85,-82.95,-83.232
18,-81.19,-81.38,-77.3064,-81.12,-81.18,-81.26,-81.34,-81.6246
20,-79.87,-80.06,-76.8164,-79.81,-79.86,-79.95,-80,-80.3064
22,-78.8,-78.99,-77.0822,-78.74,-78.79,-78.89,-78.91,-79.2364
24,-77.94,-78.13,-74.7855,-77.88,-77.93,-78.04,-78.03,-78.3868
26,-77.28,-77.46,-77.17,-77.22,-77.27,-77.38,-77.34,-77.7385
28,-76.8,-76.99,-72.5839,-76.75,-76.79,-76.92,-76.84,-77.28
30,-76.5,-76.69,-73.4882,-76.45,-76.49,-76.63,-76.52,-77.0052
32,-76.38,-76.57,-73.1888,-76.33,-76.37,-76.53,-76.37,-76.9137
34,-76.44,-76.63,-77.1614,-76.4,-76.44,-76.61,-76.4,-77.0111
36,-76.7,-76.89,-76.3629,-76.66,-76.69,-76.89,-76.62,-77.3095
38,-77.17,-77.36,-75.2162,-77.13,-77.16,-77.39,-77.04,-77.8304
40,-77.88,-78.07,-78.9011,-77.84,-77.88,-78.14,-77.7,-78.6089
42,-78.89,-79.08,-77.1311,-78.85,-78.88,-79.19,-78.63,-79.7022
44,-80.27,-80.46,-80.9009,-80.23,-80.26,-80.63,-79.91,-81.2081
46,-82.17,-82.37,-86.2844,-82.14,-82.17,-82.63,-81.65,-83.3091
48,-84.91,-85.11,-90.1875,-84.88,-84.9,-85.54,-84.12,-86.4018
50,-89.28,-89.49,-87.5015,-89.26,-89.28,-90.31,-87.91,-91.6447
52,-99.17,-99.43,-93.486,-99.21,-99.17,-102.62,-95.24,-105.962
54,-97.98,-98.09,-87.6706,-97.85,-97.96,-95.96,-103.89,-94.0841
56,-88.89,-89.05,-86.0073,-88.82,-88.88,-88.22,-90.61,-87.5591
58,-84.69,-84.86,-85.5517,-84.62,-84.68,-84.35,-85.69,-83.9941
60,-82.04,-82.21,-81.6719,-81.97,-82.03,-81.85,-82.73,-81.6348
62,-80.19,-80.36,-79.1719,-80.13,-80.18,-80.1,-80.7,-79.9613
64,-78.87,-79.04,-79.9295,-78.8,-78.86,-78.85,-79.25,-78.7515
66,-77.93,-78.1,-77.7774,-77.86,-77.91,-77.97,-78.21,-77.8924
68,-77.29,-77.47,-79.5791,-77.22,-77.28,-77.38,-77.48,-77.3223
70,-76.92,-77.1,-78.3374,-76.85,-76.91,-77.07,-77.05,-77.0064
72,-76.8,-76.97,-79.7108,-76.72,-76.78,-76.99,-76.86,-76.9279
74,-76.91,-77.08,-77.2133,-76.83,-76.9,-77.16,-76.91,-77.0834
76,-77.27,-77.44,-83.0855,-77.18,-77.25,-77.58,-77.19,-77.4828
78,-77.89,-78.07,-80.7811,-77.79,-77.88,-78.29,-77.74,-78.1508
80,-78.83,-79,-81.2719,-78.72,-78.81,-79.32,-78.57,-79.1332
82,-80.15,-80.32,-82.9934,-80.03,-80.13,-80.78,-79.76,-80.513
84,-82,-82.17,-89.9575,-81.85,-81.98,-82.83,-81.43,-82.4435
86,-84.67,-84.85,-82.4489,-84.49,-84.66,-85.87,-83.8,-85.249
88,-88.95,-89.11,-82.9768,-88.68,-88.92,-91.01,-87.42,-89.8072
90,-98.39,-98.54,-84.7829,-97.71,-98.34,-106.72,-94.29,-100.771
92,-98.44,-98.65,-79.4126,-99.05,-98.47,-94.38,-106.87,-96.9149
94,-88.96,-89.15,-75.7828,-89.12,-88.97,-87.48,-90.99,-88.5754
96,-84.68,-84.87,-77.6717,-84.75,-84.68,-83.84,-85.82,-84.5538
98,-82.01,-82.19,-76.6641,-82.03,-82.01,-81.46,-82.76,-81.9959
100,-80.16,-80.34,-78.9991,-80.16,-80.15,-79.79,-80.69,-80.2187
102,-78.84,-79.02,-75.8503,-78.83,-78.84,-78.61,-79.21,-78.9526
104,-77.91,-78.1,-75.8366,-77.89,-77.91,-77.78,-78.16,-78.0652
106,-77.3,-77.48,-73.8075,-77.27,-77.29,-77.26,-77.43,-77.4853
108,-76.95,-77.14,-73.9148,-76.92,-76.95,-76.99,-76.99,-77.1744
110,-76.86,-77.05,-74.8887,-76.83,-76.86,-76.98,-76.8,-77.1136
112,-77.02,-77.2,-73.9044,-76.98,-77.01,-77.21,-76.85,-77.2994
114,-77.43,-77.61,-73.6185,-77.39,-77.42,-77.71,-77.14,-77.7437
116,-78.12,-78.3,-78.7967,-78.08,-78.11,-78.5,-77.7,-78.4748
118,-79.14,-79.32,-77.9302,-79.1,-79.13,-79.65,-78.56,-79.5461
