Angle_deg,Sawada,Macaulay_FEM_TS,Gorska_dcyl_TS,Francis_BEM_TS,Horne_KRM_TS
0,-54.59,-52.79,,-54.27,-67.04
2,-54.93,-52.84,-69.62,-54.26,-67.31
4,-55.95,-53,-73,-54.24,-68.45
6,-57.7,-53.29,-75.13,-54.21,-70.63
8,-59.43,-53.71,-77.91,-54.17,-73.29
10,-58.3,-54.26,-76.96,-54.14,-71.59
12,-54.53,-54.88,-71.66,-54.13,-66.73
14,-50.84,-55.4,-67.14,-54.12,-62.71
16,-47.78,-55.55,-64.28,-54.11,-59.66
18,-45.25,-55.12,-60.75,-54.06,-57.37
20,-43.14,-54.21,-58.95,-53.92,-55.72
22,-41.37,-53.15,-57.97,-53.66,-54.67
24,-39.9,-52.27,-56.78,-53.26,-54.29
26,-38.7,-51.76,-57.49,-52.78,-54.7
28,-37.77,-51.69,-58.43,-52.31,-56.18
30,-37.1,-52.06,-61.06,-51.97,-59.13
32,-36.69,-52.65,-64.36,-51.81,-62.15
34,-36.52,-52.97,-65.18,-51.85,-58.89
36,-36.55,-52.55,-57.75,-52.05,-54.88
38,-36.68,-51.66,-54.99,-52.35,-52.7
40,-36.73,-50.91,-54.32,-52.76,-52.2
42,-36.44,-50.6,-55.21,-53.28,-53.46
44,-35.71,-50.63,-57.89,-53.56,-56.33
46,-34.63,-50.58,-58.32,-52.77,-56.26
48,-33.5,-50.15,-54.36,-50.8,-52.33
50,-32.54,-49.58,-51.81,-48.7,-49.94
52,-31.92,-49.3,-51.55,-47.19,-49.74
54,-31.71,-49.21,-52.5,-46.42,-51.49
56,-31.95,-48.69,-53.66,-46.32,-52.45
58,-32.57,-47.57,-50.92,-46.69,-49.25
60,-33.37,-46.53,-48.73,-47.38,-46.76
62,-33.85,-46.06,-47.9,-48.2,-46.44
64,-33.41,-45.82,-48.66,-48.23,-47.64
66,-32.13,-44.98,-47.73,-46.36,-46.82
68,-30.72,-43.63,-45.19,-43.88,-43.75
70,-29.7,-42.58,-43.43,-42.1,-41.98
72,-29.27,-41.93,-43.08,-41.06,-41.87
74,-29.5,-40.91,-42.41,-40.11,-41.54
76,-30.42,-39.16,-39.93,-38.77,-39.03
78,-32.1,-37.43,-37.65,-37.36,-36.47
80,-34.79,-36.09,-36.24,-36.17,-35.02
82,-37.74,-34.66,-34.98,-34.75,-33.88
84,-36.02,-32.69,-32.9,-32.72,-31.82
86,-32.2,-30.67,-30.52,-30.61,-29.35
88,-29.85,-29.25,-28.84,-29.15,-27.6
90,-29.17,-28.73,-28.26,-28.65,-27
