Angle_deg,Benchmark,Macaulay_FEM_TS,Gorska_dcyl_TS,Reeder_FMM_TS,Francis_BEM_TS
0,-54.46,-57.07,,-48.89,-54.24
2,-54.45,-57.17,-74.16,-49,-54.23
4,-54.41,-58.11,-74.31,-49.13,-54.21
6,-54.35,-60.23,-75.78,-49.31,-54.18
8,-54.29,-64.56,-78.08,-49.33,-54.15
10,-54.22,-73.33,-76.67,-49.86,-54.12
12,-54.17,-64.38,-71.51,-50.21,-54.1
14,-54.13,-58.04,-67.08,-50.6,-54.09
16,-54.1,-54.28,-63.7,-50.98,-54.08
18,-54.05,-51.8,-61.12,-51.3,-54.05
20,-53.95,-50.18,-59.21,-51.72,-53.96
22,-53.77,-49.26,-57.95,-51.64,-53.79
24,-53.51,-48.99,-57.36,-51.47,-53.54
26,-53.22,-49.31,-57.58,-51.32,-53.26
28,-52.96,-50.12,-58.87,-51.3,-53.01
30,-52.81,-51.01,-61.62,-51.43,-52.85
32,-52.76,-51.27,-64.72,-51.55,-52.8
34,-52.7,-50.69,-61.61,-51.33,-52.73
36,-52.49,-49.99,-57.39,-50.62,-52.51
38,-52.05,-49.73,-54.99,-49.22,-52.06
40,-51.54,-49.91,-54.28,-48.69,-51.54
42,-51.17,-49.88,-55.28,-48.64,-51.17
44,-51.01,-49.08,-57.83,-48.88,-51.01
46,-50.88,-48.01,-58.09,-48.93,-50.88
48,-50.46,-47.42,-54.36,-48.01,-50.47
50,-49.76,-47.41,-51.86,-47,-49.77
52,-49.15,-47.44,-51.41,-46.44,-49.16
54,-48.82,-46.85,-52.75,-46.48,-48.84
56,-48.53,-45.98,-53.55,-46.37,-48.55
58,-47.86,-45.48,-50.84,-45.31,-47.87
60,-46.95,-45.32,-48.42,-44.08,-46.96
62,-46.26,-44.91,-47.87,-43.41,-46.27
64,-45.78,-43.95,-48.59,-43.22,-45.79
66,-44.98,-42.88,-47.75,-42.85,-44.99
68,-43.77,-42.04,-45.1,-41.84,-43.77
70,-42.7,-41.45,-43.43,-40.65,-42.7
72,-41.93,-40.86,-43.09,-39.7,-41.94
74,-40.83,-39.74,-42.39,-38.15,-40.84
76,-39.1,-37.97,-40,-36.76,-39.12
78,-37.41,-36.19,-37.65,-35.38,-37.42
80,-36.09,-34.9,-36.22,-34.19,-36.1
82,-34.65,-33.88,-34.97,-32.98,-34.66
84,-32.65,-32.57,-32.89,-31.6,-32.66
86,-30.58,-30.94,-30.52,-30.28,-30.59
88,-29.13,-29.65,-28.85,-29.41,-29.14
90,-28.62,-29.2,-28.27,-29.22,-28.63
