Angle_deg,Benchmark,Macaulay_FEM_TS,Demer_SDWBA_TS,Gorska_DWBA_TS,Jones_PTDWBA_TS,Gorska_dcyl_TS,Francis_BEM_TS,Horne_KRM_TS
0,-112.58,-90.03,-112.45,-112.54,-113.25,,-111.29,
2,-112.49,-90.11,-112.38,-112.45,-113.18,-170.56,-111.21,-151.12
4,-112.22,-90.02,-112.11,-112.18,-112.85,-158.25,-110.99,-145.11
6,-111.81,-89.78,-111.7,-111.77,-112.41,-150.8,-110.67,-141.51
8,-111.33,-89.37,-111.23,-111.29,-111.79,-145.32,-110.28,-138.74
10,-110.84,-88.76,-110.76,-110.8,-111.3,-140.96,-109.91,-136.26
12,-110.43,-87.95,-110.38,-110.39,-110.74,-137.39,-109.63,-133.88
14,-110.19,-87,-110.16,-110.16,-110.28,-134.49,-109.52,-131.61
16,-110.25,-86.03,-110.25,-110.21,-110.27,-132.24,-109.71,-129.51
18,-110.74,-85.18,-110.76,-110.71,-110.67,-130.7,-110.37,-127.65
20,-111.95,-84.6,-112.01,-111.92,-111.54,-130.08,-111.76,-126.05
22,-114.4,-84.44,-114.53,-114.37,-113.71,-130.82,-114.49,-124.71
24,-119.8,-84.89,-120.11,-119.78,-118.37,-134.44,-120.53,-123.61
26,-140.45,-86.16,-137.41,-140.33,-135.47,-161.8,-128.57,-122.76
28,-117.31,-88.54,-117.07,-117.27,-119.02,-130.7,-115.82,-122.15
30,-111.62,-91.49,-111.52,-111.58,-112.23,-123.6,-110.75,-121.87
32,-108.73,-90.67,-108.7,-108.7,-109.07,-119.58,-108.11,-122.11
34,-107.53,-87.22,-107.55,-107.5,-107.6,-117.36,-107.05,-123.21
36,-107.94,-84.97,-108.01,-107.91,-107.82,-116.82,-107.55,-125.48
38,-110.68,-84.3,-110.82,-110.66,-110.19,-118.62,-110.34,-126.16
40,-120.21,-85.32,-120.63,-120.2,-118.44,-126.73,-119.57,-121.39
42,-116.26,-88.43,-116.07,-116.22,-117.56,-123.67,-116.02,-116.93
44,-107.85,-92.46,-107.85,-107.83,-108.1,-114.16,-107.72,-114.2
46,-104.75,-89.51,-104.81,-104.73,-104.78,-110.32,-104.63,-113.28
48,-104.46,-86.33,-104.55,-104.44,-104.23,-109.37,-104.33,-114.61
50,-107.58,-85.77,-107.75,-107.56,-106.92,-111.81,-107.36,-120.86
52,-126.14,-87.91,-127.14,-126.18,-121.03,-127.85,-123.04,-118.51
54,-107.62,-92.95,-107.63,-107.59,-108.39,-111.44,-107.9,-109.99
56,-101.75,-92.5,-101.84,-101.73,-101.91,-104.95,-101.95,-106.39
58,-100.29,-88.82,-100.42,-100.27,-100.19,-103,-100.47,-105.93
60,-102.76,-88.55,-102.94,-102.75,-102.27,-104.99,-102.99,-109.85
62,-120.97,-91.64,-121.71,-121,-116.45,-121.31,-121.35,-118.06
64,-102.23,-96.02,-102.31,-102.21,-102.97,-104.19,-102.15,-103.76
66,-96.36,-93.46,-96.49,-96.34,-96.58,-97.89,-96.38,-99.09
68,-95.14,-92.29,-95.31,-95.13,-95.13,-96.35,-95.19,-98.3
70,-98.72,-94.03,-98.92,-98.71,-98.34,-99.57,-98.78,-102.64
72,-111.7,-96.3,-111.61,-111.67,-114.91,-113.47,-111.67,-107.85
74,-93.42,-98.92,-93.57,-93.41,-93.78,-94.15,-93.49,-94.58
76,-88.54,-95.99,-88.71,-88.53,-88.66,-89.04,-88.64,-90
78,-87.45,-89.04,-87.63,-87.44,-87.42,-87.77,-87.58,-88.91
80,-90.44,-86.66,-90.65,-90.44,-90.15,-90.6,-90.69,-91.9
82,-121.07,-89.92,-120.35,-120.96,-119.08,-123.51,-114.14,-110.93
84,-86.96,-94.19,-87.13,-86.95,-87.52,-87.06,-86.74,-87.71
86,-80.84,-81.58,-81.02,-80.83,-81.17,-80.85,-80.72,-81.57
88,-78.02,-76.93,-78.21,-78.01,-78.29,-77.99,-77.94,-78.69
90,-77.17,-75.51,-77.36,-77.16,-77.42,-77.13,-77.09,-77.83
