Frequency_kHz,Benchmark,Macaulay_FEM_TS,Francis_BEM_TS,Horne_KRM_TS
12,-35.3,-34.09,-34.21,-33.62
14,-34.93,-33.96,-34.08,-33.21
16,-34.56,-33.8,-33.91,-32.85
18,-34.18,-33.6,-33.69,-32.53
20,-33.81,-33.38,-33.43,-32.25
22,-33.43,-33.1,-33.13,-31.98
24,-33.11,-32.86,-32.83,-31.74
26,-32.82,-32.6,-32.56,-31.51
28,-32.56,-32.36,-32.3,-31.3
30,-32.32,-32.12,-32.08,-31.1
32,-32.11,-31.95,-31.88,-30.91
34,-31.91,-31.75,-31.67,-30.73
36,-31.71,-31.55,-31.48,-30.56
38,-31.56,-31.38,-31.38,-30.4
40,-31.35,-31.14,-31.18,-30.25
42,-31.17,-30.92,-31.01,-30.1
44,-31.16,-30.74,-31.02,-29.95
46,-30.81,-30.53,-30.68,-29.81
48,-30.63,-30.36,-30.5,-29.68
50,-30.47,-30.21,-30.35,-29.55
52,-30.31,-30.07,-30.2,-29.43
54,-30.15,-29.95,-30.05,-29.31
56,-29.99,-29.9,-29.89,-29.19
58,-29.89,-29.76,-29.8,-29.08
60,-29.76,-29.67,-29.7,-28.97
62,-29.63,-29.58,-29.54,-28.86
64,-29.54,-29.5,-29.47,-28.75
66,-29.39,-29.37,-29.32,-28.65
68,-29.27,-29.25,-29.2,-28.55
70,-29.14,-29.17,-29.07,-28.46
72,-29.02,-28.98,-28.95,-28.36
74,-28.92,-28.83,-28.85,-28.27
76,-28.81,-28.7,-28.74,-28.18
78,-28.7,-28.56,-28.64,-28.09
80,-28.49,-28.42,-28.43,-28
82,-28.49,-28.36,-28.43,-27.92
84,-28.41,,-28.35,-27.83
86,-28.31,,-28.26,-27.75
88,-28.21,,-28.16,-27.67
90,-28.15,,-28.11,-27.59
92,-28.04,,-27.99,-27.51
94,-27.95,,-27.91,-27.43
96,-27.85,,-27.81,-27.36
98,-27.82,,-27.78,-27.28
100,-27.69,,-27.64,-27.21
102,-27.6,,-27.56,-27.14
104,-27.53,,-27.48,-27.07
106,-27.45,,-27.42,-27
108,-27.35,,-27.32,-26.93
110,-27.29,,-27.25,-26.86
112,-27.22,,-27.18,-26.79
114,-27.13,,-27.1,-26.72
116,-27.12,,-27.08,-26.66
118,-27,,-26.96,-26.59
120,-26.92,,-26.89,-26.53
122,-26.86,,-26.82,-26.46
124,-26.8,,-26.77,-26.4
126,-26.72,,-26.69,-26.34
128,-26.66,,-26.63,-26.28
130,-26.6,,-26.57,-26.22
132,-26.51,,-26.49,-26.16
134,-26.45,,-26.43,-26.1
136,-26.4,,-26.37,-26.04
138,-26.35,,-26.32,-25.98
140,-26.26,,-26.23,-25.92
142,-26.23,,-26.21,-25.87
144,-26.16,,-26.13,-25.81
146,-26.12,,-26.09,-25.76
148,-26.05,,-26.03,-25.7
150,-26.15,,-26.14,-25.65
152,-25.93,,-25.9,-25.6
154,-25.87,,-25.85,-25.54
156,-24.84,,-24.61,-25.49
158,-26.01,,-26,-25.44
160,-25.7,,-25.68,-25.39
162,-25.66,,-25.63,-25.34
164,-25.61,,-25.59,-25.29
166,-25.57,,-25.55,-25.25
168,-25.75,,-25.72,-25.2
170,-25.45,,-25.43,-25.15
172,-25.41,,-25.39,-25.1
174,-25.33,,-25.32,-25.06
176,-25.33,,-25.31,-25.01
178,-25.26,,-25.24,-24.97
180,-25.21,,-25.19,-24.92
182,-25.16,,-25.14,-24.88
184,-25.12,,-25.1,-24.84
186,-25.07,,-25.05,-24.8
188,-25.02,,-25,-24.75
190,-24.99,,-24.97,-24.71
192,-24.92,,-24.91,-24.67
194,-25.97,,-25.5,-24.63
196,-24.85,,-24.83,-24.59
198,-24.81,,-24.79,-24.55
200,-24.75,,-24.73,-24.51
202,-24.8,,,-24.47
204,-24.67,,,-24.44
206,-24.63,,,-24.4
208,-24.6,,,-24.36
210,-24.48,,,-24.32
212,-24.51,,,-24.29
214,-24.46,,,-24.25
216,-24.44,,,-24.21
