Frequency_kHz,Benchmark,Macaulay_FEM_TS,Francis_BEM_TS
12,-35.29,-34.09,-34.2
14,-34.93,-33.92,-34.08
16,-34.56,-33.76,-33.91
18,-34.17,-33.56,-33.69
20,-33.8,-33.35,-33.42
22,-33.44,-33.1,-33.13
24,-33.12,-32.84,-32.83
26,-32.82,-32.59,-32.54
28,-32.56,-32.37,-32.29
30,-32.33,-32.14,-32.07
32,-32.11,-31.94,-31.87
34,-31.91,-31.75,-31.69
36,-31.72,-31.55,-31.51
38,-31.54,-31.35,-31.34
40,-31.35,-31.12,-31.17
42,-31.17,-30.91,-31
44,-30.98,-30.73,-30.83
46,-30.8,-30.53,-30.67
48,-30.63,-30.36,-30.5
50,-30.47,-30.21,-30.35
52,-30.31,-30.07,-30.2
54,-30.17,-29.95,-30.05
56,-30.03,-29.85,-29.92
58,-29.89,-29.75,-29.79
60,-29.76,-29.66,-29.67
62,-29.64,-29.58,-29.55
64,-29.52,-29.48,-29.43
66,-29.39,-29.38,-29.32
68,-29.27,-29.25,-29.2
70,-29.15,-29.12,-29.08
72,-29.04,-28.98,-28.97
74,-28.92,-28.84,-28.85
76,-28.81,-28.7,-28.74
78,-28.71,,-28.64
80,-28.6,,-28.54
82,-28.5,,-28.44
84,-28.41,,-28.34
86,-28.31,,-28.25
88,-28.22,,-28.16
90,-28.13,,-28.08
92,-28.04,,-27.99
94,-27.95,,-27.9
96,-27.86,,-27.82
98,-27.77,,-27.73
100,-27.69,,-27.65
102,-27.61,,-27.57
104,-27.52,,-27.48
106,-27.44,,-27.4
108,-27.37,,-27.33
110,-27.29,,-27.25
112,-27.22,,-27.18
114,-27.14,,-27.1
116,-27.07,,-27.03
118,-27,,-26.96
120,-26.93,,-26.89
122,-26.86,,-26.82
124,-26.79,,-26.76
126,-26.72,,-26.69
128,-26.66,,-26.62
130,-26.59,,-26.56
132,-26.53,,-26.5
134,-26.46,,-26.43
136,-26.4,,-26.37
138,-26.34,,-26.31
140,-26.28,,-26.25
142,-26.22,,-26.19
144,-26.16,,-26.13
146,-26.1,,-26.07
148,-26.04,,-26.01
150,-25.99,,-25.96
152,-25.93,,-25.9
154,-25.87,,-25.85
156,-25.82,,-25.79
158,-25.77,,-25.74
160,-25.71,,-25.69
162,-25.66,,-25.64
164,-25.61,,-25.59
166,-25.56,,-25.54
168,-25.5,,-25.49
170,-25.45,,-25.44
172,-25.4,,-25.39
174,-25.36,,-25.34
176,-25.31,,-25.29
178,-25.26,,-25.24
180,-25.21,,-25.19
182,-25.16,,-25.14
184,-25.12,,-25.1
186,-25.07,,-25.05
188,-25.02,,-25.01
190,-24.98,,-24.96
192,-24.93,,-24.92
194,-24.89,,-24.87
196,-24.85,,-24.83
198,-24.8,,-24.79
200,-24.76,,-24.74
202,-24.72,,-24.7
204,-24.68,,-24.66
206,-24.63,,-24.62
208,-24.59,,-24.58
210,-24.55,,-24.54
212,-24.51,,-24.5
214,-24.47,,-24.46
216,-24.43,,-24.42
218,-24.39,,-24.38
220,-24.35,,-24.34
222,-24.31,,-24.3
224,-24.27,,-24.26
226,-24.24,,-24.22
228,-24.2,,-24.18
230,-24.16,,-24.15
232,-24.12,,-24.11
234,-24.09,,-24.07
236,-24.05,,-24.04
238,-24.01,,-24
240,-23.98,,-23.96
242,-23.94,,-23.93
244,-23.91,,-23.89
246,-23.87,,-23.86
248,-23.84,,-23.82
250,-23.8,,-23.79
252,-23.77,,-23.75
254,-23.73,,-23.72
256,-23.7,,-23.69
258,-23.67,,-23.65
260,-23.63,,-23.62
262,-23.6,,-23.59
264,-23.57,,-23.55
266,-23.53,,-23.52
268,-23.5,,-23.49
270,-23.47,,-23.46
272,-23.44,,-23.43
274,-23.41,,-23.4
276,-23.38,,-23.36
278,-23.34,,-23.33
280,-23.31,,-23.3
282,-23.28,,-23.27
284,-23.25,,-23.24
286,-23.22,,-23.21
288,-23.19,,-23.18
290,-23.16,,-23.15
292,-23.13,,-23.12
294,-23.1,,-23.09
296,-23.07,,-23.06
298,-23.05,,-23.03
300,-23.02,,-23.01
302,-22.99,,-22.98
304,-22.96,,-22.95
306,-22.93,,-22.92
308,-22.9,,-22.89
310,-22.88,,-22.86
312,-22.85,,-22.84
314,-22.82,,-22.81
316,-22.79,,-22.78
318,-22.77,,-22.76
320,-22.74,,-22.73
322,-22.71,,-22.7
324,-22.68,,-22.67
326,-22.66,,-22.65
328,-22.63,,-22.62
330,-22.61,,-22.6
332,-22.58,,-22.57
334,-22.55,,-22.54
336,-22.53,,-22.52
338,-22.5,,-22.49
340,-22.48,,-22.47
342,-22.45,,-22.44
344,-22.43,,-22.42
346,-22.4,,-22.39
348,-22.38,,-22.37
350,-22.35,,-22.34
352,-22.33,,-22.32
354,-22.3,,-22.29
356,-22.28,,-22.27
358,-22.25,,-22.25
360,-22.23,,-22.22
362,-22.21,,-22.2
364,-22.18,,-22.17
366,-22.16,,-22.15
368,-22.13,,-22.13
370,-22.11,,-22.1
372,-22.09,,-22.08
374,-22.06,,-22.06
376,-22.04,,-22.03
378,-22.02,,-22.01
380,-22,,-21.99
382,-21.97,,-21.96
384,-21.95,,-21.94
386,-21.92,,-21.92
388,-21.91,,-21.9
390,-21.88,,-21.88
392,-21.86,,-21.85
394,-21.84,,-21.83
396,-21.82,,-21.81
398,-21.8,,-21.79
400,-21.77,,-21.77
