Frequency_kHz,Benchmark,Macaulay_FEM_TS,Francis_Kirchhoff_TS,Francis_BEM_TS
12,-38.75,-38.85,-39.11,-39.13
14,-36.83,-36.97,-37.85,-37.08
16,-35.45,-35.58,-36.78,-35.58
18,-34.51,-34.49,-35.87,-34.55
20,-33.95,-33.79,-35.07,-33.93
22,-33.71,-33.43,-34.37,-33.66
24,-33.75,-33.46,-33.76,-33.7
26,-34.02,-33.71,-33.21,-34.01
28,-34.44,-34.15,-32.73,-34.54
30,-34.87,-34.71,-32.31,-35.14
32,-35.13,-35.07,-31.93,-35.59
34,-35.01,-35.05,-31.6,-35.57
36,-34.46,-34.64,-31.31,-35.01
38,-33.62,-33.8,-31.06,-34.12
40,-32.72,-32.87,-30.83,-33.15
42,-31.9,-32.15,-30.64,-32.27
44,-31.23,-31.4,-30.47,-31.52
46,-30.76,-30.86,-30.33,-30.94
48,-30.47,-30.5,-30.21,-30.52
50,-30.37,-30.23,-30.11,-30.27
52,-30.43,-30.23,-30.02,-30.2
54,-30.61,-30.26,-29.94,-30.31
56,-30.84,-30.5,-29.88,-30.55
58,-31.07,-30.66,-29.82,-30.84
60,-31.18,-30.72,-29.77,-31.05
62,-31.11,-30.7,-29.73,-31.1
64,-30.84,-30.41,-29.68,-30.94
66,-30.43,-30.07,-29.63,-30.61
68,-29.96,-29.64,-29.58,-30.21
70,-29.49,-29.29,-29.52,-29.8
72,-29.1,-29.01,-29.46,-29.42
74,-28.8,-28.75,-29.38,-29.1
76,-28.63,-28.61,-29.3,-28.86
78,-28.57,-28.55,-29.21,-28.7
80,-28.61,-28.62,-29.11,-28.65
82,-28.73,-28.75,-29,-28.7
84,-28.88,-28.92,-28.88,-28.82
86,-29,-29.03,-28.75,-28.93
88,-29.06,-29.07,-28.62,-28.97
90,-29.01,-28.93,-28.49,-28.9
92,-28.84,-28.63,-28.35,-28.73
94,-28.58,-28.26,-28.21,-28.48
96,-28.27,-27.9,-28.07,-28.22
98,-27.96,-27.54,-27.93,-27.97
100,-27.69,-27.28,-27.8,-27.76
102,-27.49,-27.09,-27.67,-27.6
104,-27.36,-27,-27.55,-27.49
106,-27.32,-26.95,-27.43,-27.44
108,-27.34,-27.05,-27.32,-27.46
110,-27.42,-27.2,-27.21,-27.53
112,-27.52,-27.37,-27.11,-27.63
114,-27.6,-27.57,-27.02,-27.7
116,-27.63,-27.67,-26.94,-27.71
118,-27.59,-27.7,-26.86,-27.63
120,-27.47,-27.53,-26.79,-27.46
122,-27.29,-27.35,-26.73,-27.25
124,-27.07,-27.06,-26.67,-27.02
126,-26.84,-26.77,-26.62,-26.8
128,-26.64,-26.51,-26.58,-26.61
130,-26.49,-26.25,-26.53,-26.46
132,-26.39,-26.08,-26.49,-26.36
134,-26.35,-25.98,-26.46,-26.32
136,-26.37,-25.95,-26.42,-26.34
138,-26.42,-25.94,-26.39,-26.41
140,-26.48,-26.04,-26.36,-26.51
142,-26.54,-26.13,-26.32,-26.6
144,-26.56,-26.25,-26.28,-26.64
146,-26.53,-26.3,-26.24,-26.62
148,-26.44,-26.32,-26.2,-26.54
150,-26.3,-26.24,-26.16,-26.4
152,-26.14,-26.18,-26.11,-26.22
154,-25.96,-26.02,-26.06,-26.03
156,-25.8,-25.85,-26,-25.85
158,-25.68,-25.7,-25.95,-25.69
160,-25.6,-25.58,-25.88,-25.57
162,-25.56,-25.48,-25.82,-25.51
164,-25.57,-25.4,-25.75,-25.5
166,-25.6,-25.36,-25.68,-25.53
168,-25.65,-25.33,-25.61,-25.59
170,-25.69,-25.32,-25.54,-25.64
172,-25.7,-25.32,-25.47,-25.68
174,-25.68,-25.24,-25.4,-25.67
176,-25.61,-25.2,-25.33,-25.63
178,-25.5,-25.12,-25.26,-25.56
180,-25.37,-25.06,-25.2,-25.45
182,-25.23,-24.96,-25.13,-25.32
184,-25.11,-24.89,-25.07,-25.19
186,-25,-24.84,-25.01,-25.08
188,-24.93,-24.84,-24.96,-24.99
190,-24.9,-24.86,-24.91,-24.94
192,-24.9,-24.86,-24.86,-24.92
194,-24.92,-24.92,-24.82,-24.92
196,-24.95,-24.95,-24.78,-24.94
198,-24.98,-24.93,-24.74,-24.94
200,-24.99,-24.89,-24.7,-24.93
202,-24.97,,-24.67,-24.91
204,-24.91,,-24.64,-24.86
206,-24.83,,-24.61,-24.8
208,-24.72,,-24.59,-24.72
210,-24.61,,-24.56,-24.63
212,-24.5,,-24.53,-24.53
214,-24.42,,-24.51,-24.45
216,-24.35,,-24.48,-24.4
218,-24.32,,-24.45,-24.37
220,-24.31,,-24.43,-24.37
222,-24.33,,-24.4,-24.38
224,-24.35,,-24.37,-24.4
226,-24.37,,-24.33,-24.4
228,-24.38,,-24.3,-24.39
230,-24.36,,-24.26,-24.37
232,-24.32,,-24.22,-24.31
234,-24.25,,-24.18,-24.24
236,-24.16,,-24.14,-24.15
238,-24.07,,-24.09,-24.05
240,-23.98,,-24.05,-23.95
242,-23.9,,-24,-23.87
244,-23.84,,-23.96,-23.82
246,-23.81,,-23.91,-23.79
248,-23.8,,-23.86,-23.79
250,-23.81,,-23.81,-23.81
252,-23.82,,-23.77,-23.84
254,-23.84,,-23.72,-23.87
256,-23.84,,-23.68,-23.88
258,-23.83,,-23.64,-23.87
260,-23.79,,-23.6,-23.84
262,-23.74,,-23.56,-23.79
264,-23.66,,-23.52,-23.71
266,-23.59,,-23.49,-23.62
268,-23.51,,-23.46,-23.52
270,-23.44,,-23.43,-23.44
272,-23.39,,-23.4,-23.37
274,-23.35,,-23.37,-23.33
276,-23.34,,-23.35,-23.31
278,-23.34,,-23.32,-23.31
280,-23.35,,-23.3,-23.32
282,-23.36,,-23.28,-23.33
284,-23.37,,-23.26,-23.34
286,-23.35,,-23.24,-23.35
288,-23.33,,-23.22,-23.34
290,-23.28,,-23.19,-23.31
292,-23.22,,-23.17,-23.27
294,-23.15,,-23.15,-23.2
296,-23.08,,-23.13,-23.14
298,-23.02,,-23.1,-23.07
300,-22.97,,-23.08,-23.02
302,-22.94,,-23.05,-22.97
304,-22.93,,-23.02,-22.94
306,-22.92,,-23,-22.92
308,-22.93,,-22.96,-22.91
310,-22.94,,-22.93,-22.9
312,-22.94,,-22.9,-22.9
314,-22.93,,-22.87,-22.89
316,-22.9,,-22.83,-22.88
318,-22.87,,-22.8,-22.85
320,-22.81,,-22.76,-22.81
322,-22.76,,-22.73,-22.76
324,-22.7,,-22.69,-22.71
326,-22.64,,-22.66,-22.67
328,-22.6,,-22.62,-22.64
330,-22.56,,-22.59,-22.61
332,-22.55,,-22.56,-22.59
334,-22.54,,-22.53,-22.58
336,-22.54,,-22.5,-22.57
338,-22.55,,-22.47,-22.57
340,-22.55,,-22.44,-22.56
342,-22.54,,-22.42,-22.54
344,-22.52,,-22.39,-22.52
346,-22.49,,-22.37,-22.47
348,-22.45,,-22.35,-22.42
350,-22.4,,-22.33,-22.37
352,-22.35,,-22.31,-22.32
354,-22.3,,-22.29,-22.27
356,-22.26,,-22.27,-22.24
358,-22.24,,-22.26,-22.22
360,-22.22,,-22.24,-22.21
362,-22.21,,-22.22,-22.21
364,-22.21,,-22.2,-22.21
366,-22.22,,-22.19,-22.22
368,-22.22,,-22.17,-22.22
370,-22.21,,-22.15,-22.22
372,-22.19,,-22.13,-22.2
374,-22.16,,-22.11,-22.17
376,-22.11,,-22.09,-22.12
378,-22.06,,-22.06,-22.07
380,-22,,-22.04,-22.02
382,-21.94,,-22.02,-21.97
384,-21.89,,-21.99,-21.92
386,-21.84,,-21.97,-21.88
388,-21.8,,-21.94,-21.86
390,-21.77,,-21.91,-21.85
392,-21.74,,-21.88,-21.84
394,-21.72,,-21.86,-21.85
396,-21.7,,-21.83,-21.86
398,-21.68,,-21.8,-21.86
400,-21.65,,-21.77,-21.86
