Frequency_kHz,Benchmark,Gorska_DWBA_TS,Macaulay_FEM_TS,Demer_SDWBA_TS,Jones_PTDWBA_TS,Francis_BEM_TS,Horne_KRM_TS
12,-89.79,-89.77,-89.63,-89.96,-89.93,-89.87,-90.24
14,-87.54,-87.52,-87.32,-87.71,-87.68,-87.61,-87.96
16,-85.73,-85.71,-85.58,-85.9,-85.87,-85.78,-86.13
18,-84.27,-84.25,-84.02,-84.44,-84.41,-84.31,-84.67
20,-83.12,-83.09,-82.96,-83.28,-83.25,-83.15,-83.53
22,-82.23,-82.2,-82.05,-82.39,-82.37,-82.26,-82.66
24,-81.59,-81.56,-81.46,-81.75,-81.73,-81.62,-82.04
26,-81.19,-81.16,-81.2,-81.35,-81.33,-81.22,-81.67
28,-81.03,-81,-81.18,-81.19,-81.17,-81.06,-81.55
30,-81.12,-81.08,-81.5,-81.27,-81.26,-81.15,-81.68
32,-81.48,-81.44,-82.01,-81.63,-81.62,-81.51,-82.09
34,-82.15,-82.11,-83.02,-82.3,-82.29,-82.19,-82.84
36,-83.22,-83.17,-84.5,-83.36,-83.36,-83.26,-84
38,-84.8,-84.76,-86.9,-84.95,-84.95,-84.85,-85.73
40,-87.19,-87.15,-90.93,-87.34,-87.35,-87.25,-88.39
42,-91.1,-91.06,-98.88,-91.25,-91.28,-91.18,-92.91
44,-99.61,-99.58,-99.32,-99.78,-99.91,-99.8,-104.85
46,-101.85,-101.78,-90.63,-101.96,-101.76,-101.69,-98.31
48,-91.31,-91.25,-84.36,-91.44,-91.37,-91.29,-90.32
50,-86.68,-86.63,-83.92,-86.82,-86.78,-86.69,-86.25
52,-83.76,-83.71,-81.4,-83.89,-83.87,-83.78,-83.57
54,-81.7,-81.64,-80.11,-81.83,-81.82,-81.73,-81.66
56,-80.18,-80.13,-78.96,-80.32,-80.31,-80.23,-80.25
58,-79.07,-79.03,-78.51,-79.21,-79.21,-79.14,-79.21
60,-78.28,-78.24,-77.65,-78.43,-78.43,-78.36,-78.49
62,-77.77,-77.73,-77.25,-77.92,-77.93,-77.86,-78.04
64,-77.52,-77.48,-77.57,-77.67,-77.69,-77.62,-77.83
66,-77.51,-77.48,-77.2,-77.67,-77.69,-77.63,-77.88
68,-77.76,-77.73,-78.19,-77.92,-77.96,-77.9,-78.18
70,-78.29,-78.27,-78.43,-78.46,-78.51,-78.45,-78.77
72,-79.15,-79.13,-79.41,-79.32,-79.39,-79.34,-79.7
74,-80.42,-80.4,-79.58,-80.6,-80.69,-80.65,-81.05
76,-82.25,-82.25,-83,-82.44,-82.57,-82.55,-83.02
78,-84.99,-85.02,-85.19,-85.21,-85.4,-85.41,-86
80,-89.58,-89.65,-92.55,-89.85,-90.2,-90.28,-91.15
82,-101.36,-101.76,-97.17,-101.98,-103.55,-104.28,-108.24
84,-95.41,-95.17,-88.21,-95.34,-94.69,-94.31,-93.7
86,-87.41,-87.3,-85.15,-87.48,-87.22,-87.01,-86.91
88,-83.4,-83.32,-81.36,-83.51,-83.34,-83.19,-83.23
90,-80.79,-80.74,-80.08,-80.92,-80.81,-80.68,-80.8
92,-78.96,-78.91,-78.03,-79.1,-79.01,-78.89,-79.06
94,-77.62,-77.58,-76.93,-77.77,-77.71,-77.6,-77.8
96,-76.66,-76.63,-76.19,-76.82,-76.78,-76.68,-76.9
98,-76.02,-75.99,-76.19,-76.18,-76.15,-76.06,-76.3
100,-75.64,-75.62,-75.46,-75.81,-75.8,-75.72,-75.96
