Angle_deg,Benchmark,Macaulay_FEM_TS,Francis_Kirchhoff_TS,Francis_BEM_TS
0,,-44.06,-41.85,-44.55
2,-97.1,-43.99,-41.89,-44.47
4,-85.02,-43.8,-41.95,-44.26
6,-77.93,-43.49,-42.01,-43.92
8,-72.91,-43.1,-42.07,-43.48
10,-69.05,-42.66,-42.13,-43
12,-65.97,-42.2,-42.18,-42.5
14,-63.49,-41.78,-42.22,-42.03
16,-61.5,-41.43,-42.27,-41.64
18,-59.97,-41.2,-42.36,-41.38
20,-58.89,-41.13,-42.51,-41.28
22,-58.26,-41.27,-42.76,-41.38
24,-58.15,-41.66,-43.14,-41.74
26,-58.66,-42.37,-43.71,-42.42
28,-60.03,-43.48,-44.47,-43.48
30,-62.81,-45.07,-45.42,-44.99
32,-69.04,-47.16,-46.46,-46.96
34,-80.11,-49.34,-47.32,-48.98
36,-64.39,-49.97,-47.63,-49.63
38,-58.98,-48.34,-47.24,-48.24
40,-55.83,-46.26,-46.45,-46.33
42,-53.85,-44.72,-45.71,-44.87
44,-52.69,-43.86,-45.28,-44.06
46,-52.22,-43.7,-45.32,-43.94
48,-52.45,-44.29,-45.97,-44.56
50,-53.5,-45.76,-47.4,-46.08
52,-55.75,-48.46,-49.93,-48.83
54,-60.38,-53.12,-54.05,-53.57
56,-78.41,-57.89,-56.89,-57.93
58,-61.65,-52.82,-52.36,-52.81
60,-54.83,-48.72,-48.35,-48.85
62,-51.25,-46.57,-45.86,-46.78
64,-49.17,-45.73,-44.49,-46
66,-48.18,-46.02,-44.06,-46.35
68,-48.28,-47.63,-44.66,-48.01
70,-49.86,-51.49,-46.74,-51.96
72,-54.47,-64.51,-52.12,-65.46
74,-76.83,-54.2,-64.35,-54.38
76,-50.96,-46.29,-47.3,-46.59
78,-44.4,-41.99,-41.27,-42.33
80,-40.44,-39.11,-37.55,-39.45
82,-37.73,-37.05,-35,-37.38
84,-35.85,-35.57,-33.2,-35.9
86,-34.59,-34.57,-32,-34.9
88,-33.86,-33.99,-31.29,-34.31
90,-33.62,-33.8,-31.06,-34.12
