Angle_deg,Benchmark,Gorska_DWBA_TS,Macaulay_FEM_TS,Demer_SDWBA_TS,Jones_PTDWBA_TS,Francis_BEM_TS,Horne_KRM_TS
0,,-90.04,-90.33,-90.22,-90.19,-90.14,
2,-148.45,-90.03,-90.34,-90.22,-90.19,-90.13,-137.37
4,-136.39,-90.01,-90.33,-90.19,-90.17,-90.1,-133.04
6,-129.32,-89.97,-90.27,-90.16,-90.13,-90.06,-131.81
8,-124.31,-89.94,-90.19,-90.13,-90.1,-90.02,-132.65
10,-120.45,-89.93,-90.11,-90.12,-90.09,-90,-135.8
12,-117.34,-89.97,-90.06,-90.15,-90.11,-90.02,-136.4
14,-114.79,-90.07,-90.06,-90.26,-90.21,-90.11,-129.43
16,-112.71,-90.28,-90.15,-90.46,-90.4,-90.3,-124.17
18,-111.04,-90.62,-90.35,-90.8,-90.73,-90.62,-120.48
20,-109.78,-91.14,-90.74,-91.32,-91.23,-91.13,-117.83
22,-108.93,-91.91,-91.34,-92.09,-91.98,-91.87,-115.97
24,-108.56,-93.01,-92.22,-93.19,-93.05,-92.96,-114.84
26,-108.79,-94.59,-93.56,-94.77,-94.6,-94.52,-114.49
28,-109.84,-96.92,-95.49,-97.09,-96.86,-96.82,-115.12
30,-112.28,-100.63,-98.45,-100.8,-100.44,-100.49,-117.36
32,-118.16,-108.12,-103.64,-108.3,-107.47,-107.86,-123.76
34,-128.88,-115.65,-119.63,-115.87,-117.93,-115.52,-127.56
36,-112.79,-102.92,-106.55,-103.11,-103.51,-102.87,-115.11
38,-107.03,-98.25,-100.13,-98.44,-98.62,-98.17,-109.52
40,-103.53,-95.62,-96.93,-95.81,-95.9,-95.52,-105.94
42,-101.21,-94.07,-95.16,-94.25,-94.3,-93.96,-103.49
44,-99.74,-93.29,-94.3,-93.48,-93.49,-93.18,-101.87
46,-98.99,-93.2,-94.24,-93.38,-93.37,-93.08,-101.01
48,-98.99,-93.8,-94.97,-93.99,-93.94,-93.69,-100.92
50,-99.87,-95.25,-96.64,-95.43,-95.36,-95.14,-101.76
52,-102,-97.94,-99.78,-98.13,-98.01,-97.83,-103.94
54,-106.6,-103.16,-106.22,-103.34,-103.1,-103.03,-108.91
56,-124.68,-124.43,-120.69,-124.58,-122.35,-122.88,-126.52
58,-108.05,-104.76,-103.74,-104.96,-105.2,-104.73,-107.99
60,-101.45,-98.74,-98.9,-98.93,-99.03,-98.71,-102
62,-98.15,-95.86,-96.53,-96.05,-96.09,-95.82,-98.85
64,-96.41,-94.47,-95.5,-94.65,-94.67,-94.44,-97.14
66,-95.8,-94.18,-95.47,-94.36,-94.36,-94.15,-96.53
68,-96.32,-94.98,-96.56,-95.17,-95.14,-94.96,-97.01
70,-98.33,-97.26,-99.13,-97.45,-97.4,-97.23,-98.96
72,-103.38,-102.61,-104.95,-102.79,-102.66,-102.54,-103.88
74,-126.15,-123.31,-118.96,-123.54,-125.17,-123.3,-115.01
76,-100.68,-99.98,-101.4,-100.17,-100.28,-100.07,-100.73
78,-94.47,-93.99,-95.77,-94.18,-94.22,-94.05,-94.73
80,-90.84,-90.49,-92.44,-90.68,-90.71,-90.55,-91.16
82,-88.4,-88.17,-90.22,-88.36,-88.38,-88.22,-88.8
84,-86.73,-86.59,-88.71,-86.78,-86.79,-86.63,-87.22
86,-85.63,-85.54,-87.7,-85.74,-85.74,-85.59,-86.23
88,-85.01,-84.95,-87.11,-85.14,-85.15,-85,-85.75
90,-84.8,-84.76,-86.9,-84.95,-84.95,-84.8,-85.73
