Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
269.40,-50.56,-67.05,-47.01,12.00,-46.87,-46.87,-46.87,90.00,-50.56,-67.05,-47.01,1070.00,-50.56,-67.05,-47.01,1570.00,-50.56,-67.05,-47.01,1070.00,-50.56,-67.05,-47.01,1570.00,-50.56,-67.05,-47.01,1030.00,-50.56,-67.05,-47.01,1490.00,-50.56,-67.05,-47.01,
,,,,13.00,-46.89,-46.89,-46.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-47.24,-47.24,-47.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-47.97,-47.97,-47.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-49.11,-49.11,-49.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-50.78,-50.78,-50.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-53.08,-53.08,-53.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-55.88,-55.88,-55.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-57.56,-57.56,-57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-55.86,-55.86,-55.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-53.05,-53.05,-53.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-50.75,-50.75,-50.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-49.10,-49.10,-49.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-47.99,-47.99,-47.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-47.33,-47.33,-47.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-47.07,-47.07,-47.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-47.21,-47.21,-47.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-47.75,-47.75,-47.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-48.75,-48.75,-48.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-50.33,-50.33,-50.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-52.75,-52.75,-52.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-56.59,-56.59,-56.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-63.52,-63.52,-63.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-64.61,-64.61,-64.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-57.32,-57.32,-57.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-53.36,-53.36,-53.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-50.95,-50.95,-50.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-49.43,-49.43,-49.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-48.52,-48.52,-48.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-48.12,-48.12,-48.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-48.16,-48.16,-48.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-48.65,-48.65,-48.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
