Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
195.20,-53.53,-70.72,-49.36,12.00,-52.65,-52.65,-52.65,90.00,-53.53,-70.72,-49.36,1070.00,-53.53,-70.72,-49.36,1570.00,-53.53,-70.72,-49.36,1070.00,-53.53,-70.72,-49.36,1570.00,-53.53,-70.72,-49.36,1030.00,-53.53,-70.72,-49.36,1490.00,-53.53,-70.72,-49.36,
,,,,13.00,-51.73,-51.73,-51.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-50.97,-50.97,-50.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-50.37,-50.37,-50.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-49.90,-49.90,-49.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-49.57,-49.57,-49.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-49.36,-49.36,-49.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-49.29,-49.29,-49.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-49.35,-49.35,-49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-49.56,-49.56,-49.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-49.91,-49.91,-49.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-50.42,-50.42,-50.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-51.12,-51.12,-51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-52.04,-52.04,-52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-53.24,-53.24,-53.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-54.79,-54.79,-54.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-56.84,-56.84,-56.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-59.68,-59.68,-59.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-63.97,-63.97,-63.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-70.72,-70.72,-70.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-68.57,-68.57,-68.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-62.62,-62.62,-62.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-58.98,-58.98,-58.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-56.53,-56.53,-56.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-54.77,-54.77,-54.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-53.47,-53.47,-53.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-52.51,-52.51,-52.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-51.81,-51.81,-51.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-51.34,-51.34,-51.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-51.08,-51.08,-51.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-51.01,-51.01,-51.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-51.13,-51.13,-51.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-51.44,-51.44,-51.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-51.96,-51.96,-51.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-52.71,-52.71,-52.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-53.74,-53.74,-53.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-55.12,-55.12,-55.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-56.96,-56.96,-56.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-59.48,-59.48,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-63.02,-63.02,-63.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-67.32,-67.32,-67.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-66.59,-66.59,-66.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-62.18,-62.18,-62.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-58.81,-58.81,-58.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-56.39,-56.39,-56.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-54.59,-54.59,-54.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-53.23,-53.23,-53.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-52.20,-52.20,-52.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-51.42,-51.42,-51.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-50.87,-50.87,-50.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-50.51,-50.51,-50.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-50.34,-50.34,-50.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-50.34,-50.34,-50.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-50.51,-50.51,-50.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-50.86,-50.86,-50.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-51.41,-51.41,-51.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-52.17,-52.17,-52.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-53.20,-53.20,-53.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-54.56,-54.56,-54.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-56.37,-56.37,-56.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-58.86,-58.86,-58.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-62.56,-62.56,-62.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-69.13,-69.13,-69.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-75.52,-75.52,-75.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-65.69,-65.69,-65.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-60.87,-60.87,-60.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-57.92,-57.92,-57.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-55.87,-55.87,-55.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
