Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
290.00,-30.29,-32.47,-28.65,12.00,-31.31,-31.31,-31.31,90.00,-30.29,-32.47,-28.65,1070.00,-30.29,-32.47,-28.65,1570.00,-30.29,-32.47,-28.65,1.24,-30.29,-32.47,-28.65,345.00,-30.29,-32.47,-28.65,1030.00,-30.29,-32.47,-28.65,1490.00,-30.29,-32.47,-28.65,
,,,,13.00,-31.13,-31.13,-31.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-30.86,-30.86,-30.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-30.62,-30.62,-30.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-30.47,-30.47,-30.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-30.49,-30.49,-30.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-30.66,-30.66,-30.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-30.94,-30.94,-30.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-31.23,-31.23,-31.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-31.40,-31.40,-31.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-31.40,-31.40,-31.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-31.26,-31.26,-31.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-31.10,-31.10,-31.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-31.01,-31.01,-31.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-31.05,-31.05,-31.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-31.23,-31.23,-31.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-31.51,-31.51,-31.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-31.82,-31.82,-31.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-32.07,-32.07,-32.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-32.13,-32.13,-32.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-31.96,-31.96,-31.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-31.61,-31.61,-31.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-31.21,-31.21,-31.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-30.92,-30.92,-30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-30.83,-30.83,-30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-30.98,-30.98,-30.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-31.34,-31.34,-31.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-31.84,-31.84,-31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-32.33,-32.33,-32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-32.65,-32.65,-32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-32.69,-32.69,-32.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-32.47,-32.47,-32.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-32.10,-32.10,-32.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-31.74,-31.74,-31.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-31.49,-31.49,-31.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-31.40,-31.40,-31.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-31.47,-31.47,-31.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-31.63,-31.63,-31.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
