Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
290.00,-26.16,-27.37,-24.83,12.00,-27.42,-27.42,-27.42,90.00,-26.16,-27.37,-24.83,1070.00,-26.16,-27.37,-24.83,1570.00,-26.16,-27.37,-24.83,1.24,-26.16,-27.37,-24.83,345.00,-26.16,-27.37,-24.83,1030.00,-26.16,-27.37,-24.83,1490.00,-26.16,-27.37,-24.83,
,,,,13.00,-27.26,-27.26,-27.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-27.15,-27.15,-27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-27.07,-27.07,-27.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-27.01,-27.01,-27.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-26.96,-26.96,-26.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-26.91,-26.91,-26.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-26.86,-26.86,-26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-26.78,-26.78,-26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-26.67,-26.67,-26.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-26.53,-26.53,-26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-26.36,-26.36,-26.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-26.17,-26.17,-26.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-25.95,-25.95,-25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-25.74,-25.74,-25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-25.53,-25.53,-25.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-25.33,-25.33,-25.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-25.15,-25.15,-25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-25.01,-25.01,-25.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-24.90,-24.90,-24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-24.83,-24.83,-24.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-24.80,-24.80,-24.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-24.81,-24.81,-24.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-24.85,-24.85,-24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-24.92,-24.92,-24.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-25.01,-25.01,-25.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-25.12,-25.12,-25.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-25.24,-25.24,-25.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-25.34,-25.34,-25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-25.43,-25.43,-25.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-25.50,-25.50,-25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-25.54,-25.54,-25.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-25.55,-25.55,-25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-25.54,-25.54,-25.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-25.50,-25.50,-25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-25.45,-25.45,-25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-25.40,-25.40,-25.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-25.35,-25.35,-25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-25.33,-25.33,-25.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-25.32,-25.32,-25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-25.35,-25.35,-25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-25.41,-25.41,-25.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-25.50,-25.50,-25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-25.63,-25.63,-25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-25.79,-25.79,-25.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-25.98,-25.98,-25.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-26.19,-26.19,-26.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
