Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
560.00,-29.09,-37.05,-25.31,12.00,-27.90,-27.90,-27.90,90.00,-29.09,-37.05,-25.31,1070.00,-29.09,-37.05,-25.31,1570.00,-29.09,-37.05,-25.31,1.24,-29.09,-37.05,-25.31,345.00,-29.09,-37.05,-25.31,1030.00,-29.09,-37.05,-25.31,1490.00,-29.09,-37.05,-25.31,
,,,,13.00,-28.33,-28.33,-28.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-28.23,-28.23,-28.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-27.50,-27.50,-27.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-26.75,-26.75,-26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-26.58,-26.58,-26.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-27.27,-27.27,-27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-28.74,-28.74,-28.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-30.35,-30.35,-30.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-31.04,-31.04,-31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-30.84,-30.84,-30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-30.57,-30.57,-30.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-30.57,-30.57,-30.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-30.87,-30.87,-30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-31.42,-31.42,-31.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-31.66,-31.66,-31.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-30.74,-30.74,-30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-29.28,-29.28,-29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-28.46,-28.46,-28.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-28.75,-28.75,-28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-30.14,-30.14,-30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-32.00,-32.00,-32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-32.99,-32.99,-32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-32.96,-32.96,-32.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-33.00,-33.00,-33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-33.36,-33.36,-33.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-33.81,-33.81,-33.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-34.39,-34.39,-34.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-34.68,-34.68,-34.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-33.29,-33.29,-33.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-31.04,-31.04,-31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-29.63,-29.63,-29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-29.55,-29.55,-29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-30.74,-30.74,-30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-32.46,-32.46,-32.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-33.06,-33.06,-33.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-32.67,-32.67,-32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-32.90,-32.90,-32.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-34.23,-34.23,-34.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-36.19,-36.19,-36.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-37.74,-37.74,-37.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-37.59,-37.59,-37.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-34.95,-34.95,-34.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-31.84,-31.84,-31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-29.82,-29.82,-29.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-29.07,-29.07,-29.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-29.32,-29.32,-29.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-29.78,-29.78,-29.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-29.60,-29.60,-29.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-29.08,-29.08,-29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-29.10,-29.10,-29.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-30.00,-30.00,-30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-31.58,-31.58,-31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-33.09,-33.09,-33.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-33.39,-33.39,-33.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-32.03,-32.03,-32.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-29.97,-29.97,-29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-28.28,-28.28,-28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-27.40,-27.40,-27.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-27.27,-27.27,-27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-27.50,-27.50,-27.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-27.56,-27.56,-27.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-27.38,-27.38,-27.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-27.41,-27.41,-27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-28.00,-28.00,-28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-29.08,-29.08,-29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-30.17,-30.17,-30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-30.52,-30.52,-30.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-29.73,-29.73,-29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-28.22,-28.22,-28.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-26.74,-26.74,-26.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-25.73,-25.73,-25.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-25.31,-25.31,-25.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-25.32,-25.32,-25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-25.50,-25.50,-25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-25.70,-25.70,-25.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-26.00,-26.00,-26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-26.58,-26.58,-26.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-27.43,-27.43,-27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-28.27,-28.27,-28.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-28.64,-28.64,-28.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-28.30,-28.30,-28.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-27.41,-27.41,-27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-26.36,-26.36,-26.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-25.53,-25.53,-25.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-25.14,-25.14,-25.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,98.00,-25.25,-25.25,-25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,99.00,-25.76,-25.76,-25.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100.00,-26.53,-26.53,-26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,101.00,-27.43,-27.43,-27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,102.00,-28.45,-28.45,-28.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,103.00,-29.55,-29.55,-29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104.00,-30.47,-30.47,-30.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,105.00,-30.79,-30.79,-30.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,106.00,-30.45,-30.45,-30.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,107.00,-29.76,-29.76,-29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108.00,-29.02,-29.02,-29.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,109.00,-28.35,-28.35,-28.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110.00,-27.92,-27.92,-27.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111.00,-27.91,-27.91,-27.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,112.00,-28.42,-28.42,-28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,113.00,-29.46,-29.46,-29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,114.00,-30.86,-30.86,-30.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,115.00,-32.40,-32.40,-32.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,116.00,-33.99,-33.99,-33.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,117.00,-35.70,-35.70,-35.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118.00,-37.05,-37.05,-37.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,119.00,-36.90,-36.90,-36.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,120.00,-35.62,-35.62,-35.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
