Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
388.00,-36.41,-54.53,-32.29,12.00,-31.18,-31.18,-31.18,90.00,-36.41,-54.53,-32.29,1070.00,-36.41,-54.53,-32.29,1570.00,-36.41,-54.53,-32.29,1.24,-36.41,-54.53,-32.29,345.00,-36.41,-54.53,-32.29,1030.00,-36.41,-54.53,-32.29,1490.00,-36.41,-54.53,-32.29,
,,,,13.00,-31.66,-31.66,-31.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-32.29,-32.29,-32.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-33.03,-33.03,-33.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-33.84,-33.84,-33.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-34.61,-34.61,-34.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-35.24,-35.24,-35.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-35.65,-35.65,-35.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-35.82,-35.82,-35.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-35.83,-35.83,-35.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-35.76,-35.76,-35.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-35.71,-35.71,-35.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-35.75,-35.75,-35.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-35.89,-35.89,-35.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-36.14,-36.14,-36.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-36.51,-36.51,-36.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-36.99,-36.99,-36.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-37.58,-37.58,-37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-38.32,-38.32,-38.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-39.24,-39.24,-39.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-40.43,-40.43,-40.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-42.01,-42.01,-42.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-44.22,-44.22,-44.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-47.51,-47.51,-47.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-53.27,-53.27,-53.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-69.94,-69.94,-69.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-54.16,-54.16,-54.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-48.51,-48.51,-48.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-45.59,-45.59,-45.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-43.93,-43.93,-43.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-43.07,-43.07,-43.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-42.81,-42.81,-42.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-42.97,-42.97,-42.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-43.26,-43.26,-43.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-43.15,-43.15,-43.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-42.18,-42.18,-42.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-40.50,-40.50,-40.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-38.63,-38.63,-38.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-36.91,-36.91,-36.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-35.47,-35.47,-35.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-34.33,-34.33,-34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-33.48,-33.48,-33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
