Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
388.00,-38.69,-58.22,-33.47,12.00,-34.29,-34.29,-34.29,90.00,-38.69,-58.22,-33.47,1070.00,-38.69,-58.22,-33.47,1570.00,-38.69,-58.22,-33.47,1.24,-38.69,-58.22,-33.47,345.00,-38.69,-58.22,-33.47,1030.00,-38.69,-58.22,-33.47,1490.00,-38.69,-58.22,-33.47,
,,,,13.00,-34.63,-34.63,-34.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-34.83,-34.83,-34.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-34.82,-34.82,-34.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-34.59,-34.59,-34.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-34.21,-34.21,-34.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-33.80,-33.80,-33.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-33.47,-33.47,-33.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-33.29,-33.29,-33.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-33.30,-33.30,-33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-33.55,-33.55,-33.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-34.05,-34.05,-34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-34.81,-34.81,-34.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-35.83,-35.83,-35.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-37.04,-37.04,-37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-38.31,-38.31,-38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-39.31,-39.31,-39.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-39.70,-39.70,-39.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-39.45,-39.45,-39.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-38.88,-38.88,-38.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-38.35,-38.35,-38.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-38.06,-38.06,-38.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-38.11,-38.11,-38.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-38.54,-38.54,-38.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-39.43,-39.43,-39.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-40.84,-40.84,-40.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-42.93,-42.93,-42.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-45.96,-45.96,-45.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-50.32,-50.32,-50.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-54.07,-54.07,-54.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-51.23,-51.23,-51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-47.80,-47.80,-47.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-45.73,-45.73,-45.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-44.68,-44.68,-44.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-44.42,-44.42,-44.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-44.88,-44.88,-44.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-46.08,-46.08,-46.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-48.24,-48.24,-48.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-51.87,-51.87,-51.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-58.22,-58.22,-58.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-59.05,-59.05,-59.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-52.53,-52.53,-52.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-48.79,-48.79,-48.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-46.55,-46.55,-46.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-45.20,-45.20,-45.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-44.48,-44.48,-44.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-44.25,-44.25,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-44.46,-44.46,-44.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-45.10,-45.10,-45.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-46.22,-46.22,-46.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-47.96,-47.96,-47.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-50.61,-50.61,-50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-55.04,-55.04,-55.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-63.26,-63.26,-63.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-58.02,-58.02,-58.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-51.55,-51.55,-51.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-47.76,-47.76,-47.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-45.20,-45.20,-45.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-43.39,-43.39,-43.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-42.10,-42.10,-42.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-41.26,-41.26,-41.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-40.79,-40.79,-40.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-40.70,-40.70,-40.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-40.96,-40.96,-40.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-41.57,-41.57,-41.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-42.47,-42.47,-42.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-43.46,-43.46,-43.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-44.07,-44.07,-44.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-43.73,-43.73,-43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-42.50,-42.50,-42.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-40.98,-40.98,-40.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-39.58,-39.58,-39.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-38.48,-38.48,-38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-37.70,-37.70,-37.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-37.25,-37.25,-37.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-37.10,-37.10,-37.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-37.22,-37.22,-37.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-37.56,-37.56,-37.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-38.05,-38.05,-38.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-38.54,-38.54,-38.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-38.83,-38.83,-38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-38.75,-38.75,-38.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-38.30,-38.30,-38.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-37.63,-37.63,-37.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-36.94,-36.94,-36.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-36.37,-36.37,-36.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,98.00,-35.99,-35.99,-35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,99.00,-35.83,-35.83,-35.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100.00,-35.89,-35.89,-35.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,101.00,-36.16,-36.16,-36.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,102.00,-36.59,-36.59,-36.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,103.00,-37.14,-37.14,-37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104.00,-37.67,-37.67,-37.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,105.00,-38.06,-38.06,-38.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,106.00,-38.20,-38.20,-38.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,107.00,-38.07,-38.07,-38.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108.00,-37.78,-37.78,-37.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,109.00,-37.45,-37.45,-37.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110.00,-37.20,-37.20,-37.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111.00,-37.11,-37.11,-37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,112.00,-37.20,-37.20,-37.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,113.00,-37.50,-37.50,-37.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,114.00,-38.00,-38.00,-38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,115.00,-38.68,-38.68,-38.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,116.00,-39.49,-39.49,-39.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,117.00,-40.33,-40.33,-40.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118.00,-41.07,-41.07,-41.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,119.00,-41.59,-41.59,-41.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,120.00,-41.84,-41.84,-41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
