Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
,,,,12.00,-29.61,-29.61,-29.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13.00,-29.91,-29.91,-29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-30.24,-30.24,-30.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-30.56,-30.56,-30.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-30.85,-30.85,-30.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-31.09,-31.09,-31.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-31.28,-31.28,-31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-31.42,-31.42,-31.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-31.55,-31.55,-31.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-31.67,-31.67,-31.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-31.83,-31.83,-31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-32.03,-32.03,-32.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-32.28,-32.28,-32.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-32.59,-32.59,-32.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-32.94,-32.94,-32.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-33.30,-33.30,-33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-33.64,-33.64,-33.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-33.90,-33.90,-33.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-34.04,-34.04,-34.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-34.04,-34.04,-34.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-33.94,-33.94,-33.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-33.79,-33.79,-33.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-33.65,-33.65,-33.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-33.58,-33.58,-33.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-33.63,-33.63,-33.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-33.80,-33.80,-33.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-34.11,-34.11,-34.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-34.53,-34.53,-34.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-35.05,-35.05,-35.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-35.60,-35.60,-35.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-36.14,-36.14,-36.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-36.59,-36.59,-36.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-36.91,-36.91,-36.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-37.06,-37.06,-37.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-37.07,-37.07,-37.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
