Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
617.00,-26.99,-37.13,-22.37,12.00,-23.39,-23.39,-23.39,90.00,-26.99,-37.13,-22.37,1070.00,-26.99,-37.13,-22.37,1570.00,-26.99,-37.13,-22.37,1.24,-26.99,-37.13,-22.37,345.00,-26.99,-37.13,-22.37,1030.00,-26.99,-37.13,-22.37,1490.00,-26.99,-37.13,-22.37,
,,,,13.00,-23.73,-23.73,-23.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-24.08,-24.08,-24.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-24.38,-24.38,-24.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-24.60,-24.60,-24.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-24.74,-24.74,-24.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-24.85,-24.85,-24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-24.99,-24.99,-24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-25.22,-25.22,-25.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-25.61,-25.61,-25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-26.18,-26.18,-26.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
