Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
331.00,-33.73,-36.70,-31.47,12.00,-31.70,-31.70,-31.70,90.00,-33.73,-36.70,-31.47,1070.00,-33.73,-36.70,-31.47,1570.00,-33.73,-36.70,-31.47,1.24,-33.73,-36.70,-31.47,345.00,-33.73,-36.70,-31.47,1030.00,-33.73,-36.70,-31.47,1490.00,-33.73,-36.70,-31.47,
,,,,13.00,-32.16,-32.16,-32.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-32.46,-32.46,-32.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-32.62,-32.62,-32.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-32.74,-32.74,-32.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-32.89,-32.89,-32.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-33.13,-33.13,-33.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-33.45,-33.45,-33.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-33.83,-33.83,-33.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-34.17,-34.17,-34.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-34.30,-34.30,-34.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-34.11,-34.11,-34.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-33.61,-33.61,-33.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-32.99,-32.99,-32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-32.43,-32.43,-32.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-32.08,-32.08,-32.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-32.00,-32.00,-32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-32.20,-32.20,-32.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-32.63,-32.63,-32.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-33.17,-33.17,-33.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-33.67,-33.67,-33.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-33.95,-33.95,-33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-33.95,-33.95,-33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-33.74,-33.74,-33.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-33.46,-33.46,-33.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-33.23,-33.23,-33.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-33.12,-33.12,-33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-33.15,-33.15,-33.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-33.34,-33.34,-33.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-33.63,-33.63,-33.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-33.95,-33.95,-33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-34.14,-34.14,-34.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-34.06,-34.06,-34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-33.70,-33.70,-33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-33.20,-33.20,-33.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-32.76,-32.76,-32.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-32.53,-32.53,-32.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-32.61,-32.61,-32.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-33.01,-33.01,-33.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-33.71,-33.71,-33.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-34.56,-34.56,-34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-35.32,-35.32,-35.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-35.67,-35.67,-35.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-35.49,-35.49,-35.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-34.96,-34.96,-34.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-34.35,-34.35,-34.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-33.86,-33.86,-33.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-33.57,-33.57,-33.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-33.52,-33.52,-33.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-33.73,-33.73,-33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
