Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
331.00,-27.94,-30.13,-25.97,12.00,-28.61,-28.61,-28.61,90.00,-27.94,-30.13,-25.97,1070.00,-27.94,-30.13,-25.97,1570.00,-27.94,-30.13,-25.97,1.24,-27.94,-30.13,-25.97,345.00,-27.94,-30.13,-25.97,1030.00,-27.94,-30.13,-25.97,1490.00,-27.94,-30.13,-25.97,
,,,,13.00,-28.79,-28.79,-28.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-28.96,-28.96,-28.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-29.07,-29.07,-29.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-29.08,-29.08,-29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-28.94,-28.94,-28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-28.67,-28.67,-28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-28.29,-28.29,-28.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-27.86,-27.86,-27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-27.44,-27.44,-27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-27.06,-27.06,-27.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-26.76,-26.76,-26.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-26.55,-26.55,-26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-26.45,-26.45,-26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-26.46,-26.46,-26.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-26.57,-26.57,-26.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-26.78,-26.78,-26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-27.05,-27.05,-27.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-27.35,-27.35,-27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-27.65,-27.65,-27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-27.89,-27.89,-27.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-28.04,-28.04,-28.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-28.06,-28.06,-28.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-27.97,-27.97,-27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-27.80,-27.80,-27.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-27.60,-27.60,-27.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-27.41,-27.41,-27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-27.27,-27.27,-27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-27.20,-27.20,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-27.23,-27.23,-27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-27.35,-27.35,-27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-27.57,-27.57,-27.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
