Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
175.00,-57.02,-77.58,-50.99,12.00,-55.22,-55.22,-55.22,90.00,-57.02,-77.58,-50.99,1070.00,-57.02,-77.58,-50.99,1570.00,-57.02,-77.58,-50.99,1.24,-57.02,-77.58,-50.99,345.00,-57.02,-77.58,-50.99,1030.00,-57.02,-77.58,-50.99,1490.00,-57.02,-77.58,-50.99,
,,,,13.00,-54.28,-54.28,-54.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-53.48,-53.48,-53.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-52.80,-52.80,-52.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-52.23,-52.23,-52.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-51.77,-51.77,-51.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-51.41,-51.41,-51.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-51.16,-51.16,-51.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-50.99,-50.99,-50.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-50.93,-50.93,-50.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-50.96,-50.96,-50.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-51.08,-51.08,-51.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-51.31,-51.31,-51.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-51.65,-51.65,-51.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-52.10,-52.10,-52.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-52.68,-52.68,-52.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-53.40,-53.40,-53.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-54.29,-54.29,-54.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-55.36,-55.36,-55.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-56.67,-56.67,-56.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
