Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
200.00,-54.72,-72.00,-50.47,12.00,-51.32,-51.32,-51.32,90.00,-54.72,-72.00,-50.47,1070.00,-54.72,-72.00,-50.47,1570.00,-54.72,-72.00,-50.47,1.24,-54.72,-72.00,-50.47,345.00,-54.72,-72.00,-50.47,1030.00,-54.72,-72.00,-50.47,1490.00,-54.72,-72.00,-50.47,
,,,,13.00,-50.80,-50.80,-50.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-50.47,-50.47,-50.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-50.34,-50.34,-50.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-50.39,-50.39,-50.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-50.65,-50.65,-50.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-51.11,-51.11,-51.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-51.82,-51.82,-51.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-52.79,-52.79,-52.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-54.09,-54.09,-54.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-55.79,-55.79,-55.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-58.02,-58.02,-58.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-60.85,-60.85,-60.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-63.80,-63.80,-63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-64.35,-64.35,-64.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-61.96,-61.96,-61.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-59.41,-59.41,-59.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-57.47,-57.47,-57.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-56.10,-56.10,-56.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-55.20,-55.20,-55.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-54.70,-54.70,-54.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-54.55,-54.55,-54.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-54.75,-54.75,-54.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-55.31,-55.31,-55.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-56.28,-56.28,-56.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-57.75,-57.75,-57.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-59.86,-59.86,-59.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-62.65,-62.65,-62.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-65.04,-65.04,-65.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-63.79,-63.79,-63.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-60.50,-60.50,-60.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-57.65,-57.65,-57.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-55.48,-55.48,-55.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-53.84,-53.84,-53.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-52.61,-52.61,-52.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-51.72,-51.72,-51.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-51.12,-51.12,-51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-50.77,-50.77,-50.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-50.66,-50.66,-50.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
