Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
210.00,-39.81,-64.06,-33.74,12.00,-33.98,-33.98,-33.98,90.00,-39.81,-64.06,-33.74,1070.00,-39.81,-64.06,-33.74,1570.00,-39.81,-64.06,-33.74,1.24,-39.81,-64.06,-33.74,345.00,-39.81,-64.06,-33.74,1030.00,-39.81,-64.06,-33.74,1490.00,-39.81,-64.06,-33.74,
,,,,13.00,-33.83,-33.83,-33.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-33.74,-33.74,-33.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-33.71,-33.71,-33.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-33.73,-33.73,-33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-33.81,-33.81,-33.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-33.95,-33.95,-33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-34.15,-34.15,-34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-34.40,-34.40,-34.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-34.71,-34.71,-34.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-35.08,-35.08,-35.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-35.50,-35.50,-35.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-35.98,-35.98,-35.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-36.52,-36.52,-36.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-37.11,-37.11,-37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-37.75,-37.75,-37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-38.44,-38.44,-38.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-39.17,-39.17,-39.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-39.94,-39.94,-39.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-40.73,-40.73,-40.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-41.55,-41.55,-41.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-42.37,-42.37,-42.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-43.21,-43.21,-43.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-44.04,-44.04,-44.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-44.89,-44.89,-44.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-45.74,-45.74,-45.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-46.62,-46.62,-46.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-47.55,-47.55,-47.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-48.55,-48.55,-48.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-49.62,-49.62,-49.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-50.74,-50.74,-50.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-51.84,-51.84,-51.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-52.73,-52.73,-52.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-53.12,-53.12,-53.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
