Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
465.40,-46.20,-64.47,-41.66,12.00,-43.77,-43.77,-43.77,90.00,-46.20,-64.47,-41.66,1070.00,-46.20,-64.47,-41.66,1570.00,-46.20,-64.47,-41.66,1070.00,-46.20,-64.47,-41.66,1570.00,-46.20,-64.47,-41.66,1030.00,-46.20,-64.47,-41.66,1490.00,-46.20,-64.47,-41.66,
,,,,13.00,-44.78,-44.78,-44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-49.05,-49.05,-49.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-62.73,-62.73,-62.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-49.04,-49.04,-49.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-43.70,-43.70,-43.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-41.66,-41.66,-41.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-41.64,-41.64,-41.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-43.66,-43.66,-43.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-49.10,-49.10,-49.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-63.74,-63.74,-63.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-48.49,-48.49,-48.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-44.25,-44.25,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-43.26,-43.26,-43.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-44.75,-44.75,-44.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-50.04,-50.04,-50.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-62.96,-62.96,-62.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-47.47,-47.47,-47.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-42.94,-42.94,-42.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-41.36,-41.36,-41.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-41.76,-41.76,-41.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-44.35,-44.35,-44.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-51.23,-51.23,-51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-59.91,-59.91,-59.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-47.42,-47.42,-47.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-44.06,-44.06,-44.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-43.65,-43.65,-43.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-45.84,-45.84,-45.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-52.91,-52.91,-52.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-57.60,-57.60,-57.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
