Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
411.80,-46.87,-67.60,-43.05,12.00,-50.84,-50.84,-50.84,90.00,-46.87,-67.60,-43.05,1070.00,-46.87,-67.60,-43.05,1570.00,-46.87,-67.60,-43.05,1070.00,-46.87,-67.60,-43.05,1570.00,-46.87,-67.60,-43.05,1030.00,-46.87,-67.60,-43.05,1490.00,-46.87,-67.60,-43.05,
,,,,13.00,-46.73,-46.73,-46.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-45.20,-45.20,-45.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-45.41,-45.41,-45.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-47.51,-47.51,-47.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-53.01,-53.01,-53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-63.98,-63.98,-63.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-50.32,-50.32,-50.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-45.45,-45.45,-45.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-43.19,-43.19,-43.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-42.46,-42.46,-42.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-43.05,-43.05,-43.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-45.11,-45.11,-45.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-49.50,-49.50,-49.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-58.55,-58.55,-58.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-52.81,-52.81,-52.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-47.51,-47.51,-47.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
