Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
230.00,-35.22,-40.22,-32.37,12.00,-32.08,-32.08,-32.08,90.00,-35.22,-40.22,-32.37,1070.00,-35.22,-40.22,-32.37,1570.00,-35.22,-40.22,-32.37,1.24,-35.22,-40.22,-32.37,345.00,-35.22,-40.22,-32.37,1030.00,-35.22,-40.22,-32.37,1490.00,-35.22,-40.22,-32.37,
,,,,13.00,-32.18,-32.18,-32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-32.37,-32.37,-32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-32.63,-32.63,-32.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-32.94,-32.94,-32.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-33.30,-33.30,-33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-33.67,-33.67,-33.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-34.05,-34.05,-34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-34.41,-34.41,-34.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-34.72,-34.72,-34.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-34.97,-34.97,-34.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-35.15,-35.15,-35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-35.26,-35.26,-35.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-35.30,-35.30,-35.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-35.29,-35.29,-35.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-35.25,-35.25,-35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-35.21,-35.21,-35.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-35.18,-35.18,-35.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-35.20,-35.20,-35.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-35.29,-35.29,-35.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-35.46,-35.46,-35.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-35.73,-35.73,-35.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-36.10,-36.10,-36.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-36.58,-36.58,-36.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-37.16,-37.16,-37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-37.82,-37.82,-37.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-38.52,-38.52,-38.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-39.21,-39.21,-39.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-39.80,-39.80,-39.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-40.22,-40.22,-40.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-40.41,-40.41,-40.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
