Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
294.00,-31.89,-37.13,-29.41,12.00,-30.60,-30.60,-30.60,90.00,-31.89,-37.13,-29.41,1070.00,-31.89,-37.13,-29.41,1570.00,-31.89,-37.13,-29.41,1.24,-31.89,-37.13,-29.41,345.00,-31.89,-37.13,-29.41,1030.00,-31.89,-37.13,-29.41,1490.00,-31.89,-37.13,-29.41,
,,,,13.00,-30.74,-30.74,-30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-30.96,-30.96,-30.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-31.25,-31.25,-31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-31.57,-31.57,-31.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-31.89,-31.89,-31.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-32.15,-32.15,-32.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-32.29,-32.29,-32.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-32.29,-32.29,-32.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-32.12,-32.12,-32.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-31.82,-31.82,-31.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-31.42,-31.42,-31.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-31.00,-31.00,-31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-30.59,-30.59,-30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-30.23,-30.23,-30.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-29.95,-29.95,-29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-29.78,-29.78,-29.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-29.71,-29.71,-29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-29.76,-29.76,-29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-29.93,-29.93,-29.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-30.21,-30.21,-30.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
