Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
275.00,-37.54,-40.19,-34.32,12.00,-36.59,-36.59,-36.59,90.00,-37.54,-40.19,-34.32,1070.00,-37.54,-40.19,-34.32,1570.00,-37.54,-40.19,-34.32,1.24,-37.54,-40.19,-34.32,345.00,-37.54,-40.19,-34.32,1030.00,-37.54,-40.19,-34.32,1490.00,-37.54,-40.19,-34.32,
,,,,13.00,-37.04,-37.04,-37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-37.43,-37.43,-37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-37.61,-37.61,-37.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-37.49,-37.49,-37.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-37.07,-37.07,-37.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-36.46,-36.46,-36.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-35.78,-35.78,-35.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-35.17,-35.17,-35.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-34.67,-34.67,-34.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-34.32,-34.32,-34.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-34.16,-34.16,-34.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-34.17,-34.17,-34.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-34.39,-34.39,-34.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-34.77,-34.77,-34.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-35.34,-35.34,-35.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-36.03,-36.03,-36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-36.78,-36.78,-36.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-37.51,-37.51,-37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-38.08,-38.08,-38.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-38.37,-38.37,-38.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-38.34,-38.34,-38.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-38.08,-38.08,-38.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-37.69,-37.69,-37.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-37.37,-37.37,-37.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-37.14,-37.14,-37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-37.03,-37.03,-37.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-37.04,-37.04,-37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-37.18,-37.18,-37.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-37.43,-37.43,-37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-37.73,-37.73,-37.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-38.00,-38.00,-38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-38.23,-38.23,-38.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-38.36,-38.36,-38.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-38.42,-38.42,-38.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-38.38,-38.38,-38.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-38.33,-38.33,-38.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-38.28,-38.28,-38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-38.29,-38.29,-38.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-38.43,-38.43,-38.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-38.62,-38.62,-38.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-38.89,-38.89,-38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-39.21,-39.21,-39.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-39.47,-39.47,-39.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-39.62,-39.62,-39.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-39.57,-39.57,-39.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-39.32,-39.32,-39.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-38.93,-38.93,-38.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-38.44,-38.44,-38.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-37.95,-37.95,-37.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-37.51,-37.51,-37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-37.16,-37.16,-37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-36.98,-36.98,-36.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-36.95,-36.95,-36.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-37.11,-37.11,-37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-37.46,-37.46,-37.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-37.97,-37.97,-37.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-38.59,-38.59,-38.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-39.34,-39.34,-39.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-39.97,-39.97,-39.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-40.34,-40.34,-40.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-40.20,-40.20,-40.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-39.61,-39.61,-39.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-38.76,-38.76,-38.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-37.92,-37.92,-37.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-37.15,-37.15,-37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-36.53,-36.53,-36.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-36.13,-36.13,-36.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-35.93,-35.93,-35.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-35.94,-35.94,-35.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-36.16,-36.16,-36.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-36.55,-36.55,-36.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-37.13,-37.13,-37.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-37.78,-37.78,-37.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-38.45,-38.45,-38.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-38.91,-38.91,-38.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-39.04,-39.04,-39.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-38.83,-38.83,-38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-38.32,-38.32,-38.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-37.71,-37.71,-37.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-37.16,-37.16,-37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-36.76,-36.76,-36.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-36.55,-36.55,-36.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-36.53,-36.53,-36.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-36.67,-36.67,-36.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-36.96,-36.96,-36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,98.00,-37.39,-37.39,-37.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,99.00,-37.87,-37.87,-37.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100.00,-38.28,-38.28,-38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,101.00,-38.61,-38.61,-38.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,102.00,-38.70,-38.70,-38.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,103.00,-38.62,-38.62,-38.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104.00,-38.42,-38.42,-38.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,105.00,-38.17,-38.17,-38.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,106.00,-38.00,-38.00,-38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,107.00,-37.92,-37.92,-37.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108.00,-37.98,-37.98,-37.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,109.00,-38.20,-38.20,-38.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110.00,-38.56,-38.56,-38.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111.00,-39.02,-39.02,-39.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,112.00,-39.51,-39.51,-39.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,113.00,-39.96,-39.96,-39.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,114.00,-40.18,-40.18,-40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
