Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
275.00,-39.69,-45.67,-37.44,12.00,-37.86,-37.86,-37.86,90.00,-39.69,-45.67,-37.44,1070.00,-39.69,-45.67,-37.44,1570.00,-39.69,-45.67,-37.44,1.24,-39.69,-45.67,-37.44,345.00,-39.69,-45.67,-37.44,1030.00,-39.69,-45.67,-37.44,1490.00,-39.69,-45.67,-37.44,
,,,,13.00,-38.44,-38.44,-38.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-39.06,-39.06,-39.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-39.52,-39.52,-39.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-39.70,-39.70,-39.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-39.58,-39.58,-39.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-39.23,-39.23,-39.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-38.78,-38.78,-38.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-38.40,-38.40,-38.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-38.17,-38.17,-38.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-38.08,-38.08,-38.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-38.26,-38.26,-38.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-38.66,-38.66,-38.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-39.34,-39.34,-39.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-40.25,-40.25,-40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-41.29,-41.29,-41.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-42.18,-42.18,-42.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-42.53,-42.53,-42.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-42.08,-42.08,-42.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-41.08,-41.08,-41.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-39.96,-39.96,-39.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-38.95,-38.95,-38.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-38.16,-38.16,-38.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-37.70,-37.70,-37.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-37.50,-37.50,-37.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-37.54,-37.54,-37.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-37.88,-37.88,-37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-38.46,-38.46,-38.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-39.26,-39.26,-39.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-40.17,-40.17,-40.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-41.00,-41.00,-41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-41.32,-41.32,-41.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-41.19,-41.19,-41.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-40.45,-40.45,-40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-39.59,-39.59,-39.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-38.84,-38.84,-38.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-38.30,-38.30,-38.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-38.02,-38.02,-38.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-38.04,-38.04,-38.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-38.33,-38.33,-38.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-38.95,-38.95,-38.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-39.87,-39.87,-39.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-40.99,-40.99,-40.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-42.24,-42.24,-42.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-43.01,-43.01,-43.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-42.96,-42.96,-42.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-42.09,-42.09,-42.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-40.83,-40.83,-40.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-39.61,-39.61,-39.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-38.64,-38.64,-38.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-37.97,-37.97,-37.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-37.65,-37.65,-37.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-37.64,-37.64,-37.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-37.89,-37.89,-37.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-38.53,-38.53,-38.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-39.47,-39.47,-39.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-40.76,-40.76,-40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-42.47,-42.47,-42.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-44.33,-44.33,-44.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-45.90,-45.90,-45.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-45.85,-45.85,-45.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-44.55,-44.55,-44.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-42.89,-42.89,-42.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-41.46,-41.46,-41.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-40.45,-40.45,-40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-39.84,-39.84,-39.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-39.57,-39.57,-39.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-39.66,-39.66,-39.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-40.04,-40.04,-40.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-40.81,-40.81,-40.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-41.97,-41.97,-41.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-43.41,-43.41,-43.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-44.86,-44.86,-44.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-45.67,-45.67,-45.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-45.20,-45.20,-45.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-43.77,-43.77,-43.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-42.16,-42.16,-42.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-40.76,-40.76,-40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-39.69,-39.69,-39.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-38.96,-38.96,-38.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-38.56,-38.56,-38.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-38.48,-38.48,-38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-38.73,-38.73,-38.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-39.31,-39.31,-39.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-40.26,-40.26,-40.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-41.59,-41.59,-41.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
